location,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202113,202114,202115,202116,202117,202118,202119,202120,202121,202122,202123,202124,202125,202126,202127,202128,202129,202130,202131,202132,202133,202134,202135,202136,202137,202138,202139,202140,202141,202142,202143,202144,202145,202146,202147,202148,202149,202150,202151,202152,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202213,202214,202215,202216,202217,202218,202219,202220,202221
Antigua and Barbuda,0.0,0.0,10.129,0.0,60.772999999999996,81.031,40.515,20.258,10.129,10.129,0.0,0.0,0.0,0.0,10.129,0.0,0.0,395.025,40.515,60.773999999999994,20.258,60.773,91.15899999999999,10.129,10.129,10.129,0.0,10.129,0.0,0.0,20.258,81.031,40.516,10.129,30.387,30.387,20.258,20.258,50.644,20.258,30.387,30.387,40.516,30.387,40.516,81.031,151.933,81.032,232.965,597.602,1326.878,1225.5890000000002,1043.269,881.209,1337.007,496.31300000000005,901.467,303.865,121.547,162.062,60.772999999999996,50.644,0.0,91.16,141.804,20.258,40.516,0.0,0.0,0.0,10.129,20.258,20.258,91.16,232.964,253.222,445.668,698.8900000000001,1093.915,1134.43,3038.652,4426.303,2147.313,4395.916,2785.432,1215.46,1073.657,212.70499999999998,202.577,151.93200000000002,131.675,60.774,50.644,121.547,273.48,182.31900000000002,476.055,4375.657999999999,4071.7940000000003,5003.646,6350.782,1762.4180000000001,6067.173999999999,698.889,293.73699999999997,121.54599999999999,111.417,40.515,91.16,111.41799999999999,182.319,243.092,364.637,557.086,374.76700000000005,587.473,1914.3500000000001,405.154
Argentina,0.0,0.044,0.505,2.061,9.450999999999999,12.608,11.489999999999998,15.218,18.616,16.489,20.391,37.341,62.361000000000004,89.15599999999999,105.755,147.877,203.373,310.026,329.826,409.68500000000006,477.83400000000006,679.6500000000001,722.89,858.0920000000001,890.8080000000001,875.8320000000001,1210.525,1329.72,1401.114,1472.991,1497.638,1692.876,1768.4140000000002,1792.03,1978.893,1663.0120000000002,1357.0649999999998,1305.25,1188.357,901.0909999999999,904.621,646.761,806.301,819.742,1125.448,1502.396,1505.0259999999998,1356.208,1165.8600000000001,1046.906,850.921,726.398,835.485,825.7059999999999,855.878,940.406,1081.266,1573.57,2507.225,3098.9030000000002,3221.19,2883.2059999999997,2724.8489999999997,2923.048,4200.713,4116.558,4015.5840000000003,3378.208,2885.9480000000003,2547.766,2615.829,2216.033,2151.37,1721.9299999999998,1760.718,1604.773,1358.8390000000002,965.9959999999999,808.6910000000001,624.065,425.47200000000004,297.221,224.46800000000002,189.14299999999997,125.115,127.89999999999999,148.20499999999998,167.28199999999998,153.51100000000002,172.58800000000002,185.416,204.732,266.01800000000003,330.178,557.056,1288.9370000000001,4429.018,10117.305,15249.082999999999,14578.883000000002,10502.693,5301.187,3063.754,1907.3229999999999,1423.48,796.609,721.004,759.399,379.03,319.718,232.49299999999997,172.368,9.385,247.929,250.911,386.924,745.278,953.541
Bahamas,0.0,0.0,0.0,7.558,15.116,35.271,35.270999999999994,20.155,45.349,7.558,22.675,10.077,2.519,5.038,0.0,0.0,2.519,0.0,0.0,10.077,45.349000000000004,448.46000000000004,624.819,581.99,607.185,1136.268,735.675,632.379,851.569,627.339,1451.1950000000002,1083.357,959.906,1244.602,1612.441,947.308,423.26499999999993,544.1980000000001,513.9649999999999,254.464,173.841,133.531,214.15200000000002,138.569,249.424,206.593,131.01,173.841,166.283,206.59300000000002,138.56900000000002,231.788,292.255,204.07500000000002,146.127,357.76,340.124,594.587,486.251,680.248,861.6479999999999,1201.77,806.22,632.378,937.231,725.5980000000001,466.096,408.14799999999997,377.91499999999996,433.343,675.2090000000001,728.117,957.386,949.828,2257.4159999999997,1458.754,1819.034,2068.459,2464.0109999999995,1899.656,1463.7930000000001,1751.009,1443.638,1287.432,1174.058,0.0,1509.143,433.343,337.604,340.124,209.114,163.763,229.269,141.089,287.21500000000003,1370.574,2360.7129999999997,6666.432,7019.153,3174.4910000000004,1058.163,488.77,473.65500000000003,234.308,211.632,153.686,55.427,42.83,78.102,105.815,113.37400000000001,105.81700000000001,138.569,196.516,287.216,340.124,697.884,360.28
Barbados,0.0,0.0,0.0,17.378,62.563,86.894,52.136,24.33,6.952,6.952,6.952,3.476,13.902,0.0,0.0,13.903,3.476,0.0,0.0,3.476,3.476,13.902999999999999,6.951,55.611999999999995,34.758,24.331,27.805999999999997,27.805999999999997,6.952,17.378999999999998,17.379,10.427,27.805999999999997,45.184,24.329,31.281,17.378999999999998,24.33,13.902999999999999,52.136,48.66,24.33,52.136,139.028,149.457,1338.1630000000002,792.47,212.021,545.691,462.274,941.927,2141.059,969.734,622.158,441.419,375.382,243.30100000000002,194.64099999999996,139.03,159.88400000000001,163.36,121.65100000000001,236.349,97.32,69.514,62.563,59.087,10.428,13.904,86.893,27.805,159.88400000000001,364.95300000000003,274.58299999999997,139.029,225.923,208.54500000000002,358.002,559.595,1049.675,1776.1060000000002,1786.533,3037.8019999999997,4198.702,5529.911999999999,6117.313,6881.978,7302.542,7128.754999999999,6131.217,5383.93,3983.2039999999997,3555.688,2446.926,1341.638,1101.812,3253.2980000000002,7625.786,10170.034,11157.144999999999,14824.058,12662.143,10785.241,6749.900000000001,4250.839,3340.192,2752.792,2175.817,2120.205,4257.789,5328.318,7730.0599999999995,8557.287,8015.071,9255.912,9200.3,7601.457,3249.8219999999997
Belize,0.0,0.0,0.0,0.0,4.94,4.94,14.819000000000003,12.349,0.0,0.0,0.0,0.0,0.0,0.0,2.47,2.47,4.94,4.94,14.818,17.288,7.409000000000001,19.758,0.0,143.24,518.6279999999999,642.1099999999999,498.871,464.294,595.187,325.994,498.87,629.7620000000001,856.97,743.365,679.1550000000001,879.1969999999999,1306.448,1578.1080000000002,674.2149999999999,1178.025,4287.32,3368.6079999999997,1526.2469999999998,1726.2879999999998,706.321,975.5129999999999,649.519,422.311,382.79600000000005,259.31399999999996,239.55700000000002,202.513,121.01400000000001,103.726,86.439,74.09100000000001,37.046,101.256,71.62,130.893,150.649,170.406,44.454,69.15,123.48200000000003,66.68100000000001,172.877,190.164,162.99800000000002,328.46500000000003,508.74899999999997,432.18899999999996,407.49300000000005,577.899,607.534,679.155,1010.088,1402.763,1474.3829999999998,1822.605,1617.624,2783.3010000000004,2637.5910000000003,3464.9249999999997,2924.07,4452.786,3593.347,3341.441,2706.7419999999997,2482.002,1486.732,1639.8500000000001,1271.8719999999998,871.787,526.037,634.701,3301.9269999999997,7315.116,11879.036,12696.491000000002,11691.342999999999,7549.732,4047.762,2212.81,1279.281,689.033,390.206,269.192,217.329,143.24,71.62,32.106,217.32999999999998,192.63400000000004,284.01,701.381,1291.629,814.9860000000001
Bolivia,0.0,0.0,0.254,0.42400000000000004,3.551,4.902,10.902,16.056,26.536,30.677999999999997,67.269,96.342,148.14600000000002,237.979,265.023,301.78499999999997,391.619,499.538,519.0590000000001,633.317,752.306,702.953,719.009,768.871,751.715,700.504,505.538,357.13800000000003,416.718,343.87,232.57100000000003,222.00800000000004,140.032,92.87799999999999,76.228,72.002,49.522,54.256,56.875,48.341,61.946,101.834,179.076,322.828,560.807,768.9549999999999,911.9469999999999,1062.88,1132.685,888.452,673.543,392.12600000000003,517.201,401.422,369.647,405.986,363.393,392.54900000000004,522.441,489.312,721.0380000000001,553.287,647.5999999999999,817.802,1126.685,1563.4329999999998,1414.948,1209.59,1001.2719999999999,878.819,834.1970000000001,602.895,505.706,475.70599999999996,336.60200000000003,277.953,369.223,300.263,214.571,165.387,150.76500000000001,172.062,139.019,171.809,185.83800000000002,229.697,264.178,232.487,308.038,447.98699999999997,409.87399999999997,566.893,486.27000000000004,572.8929999999999,774.7860000000001,962.483,2070.999,4484.601000000001,4532.011,6694.705,3133.627,1680.9850000000001,772.59,467.002,295.193,97.356,215.24599999999998,183.639,111.637,102.08699999999999,51.888999999999996,39.719,34.311,49.776999999999994,32.199,47.833,73.27,45.889
Brazil,0.005,0.051000000000000004,0.645,3.0,11.196,24.075,43.358,60.539,81.24000000000001,153.639,232.689,300.15,472.24300000000005,556.224,701.8389999999999,718.658,892.074,911.71,1067.225,1069.5140000000001,971.5989999999999,1277.942,1268.535,1215.065,1237.5610000000001,1030.733,1057.008,1130.356,758.692,853.3719999999998,771.495,771.089,709.345,565.6800000000001,621.593,655.398,469.0799999999999,790.7900000000001,815.558,886.185,1135.4430000000002,1224.06,1332.362,1092.8700000000001,1095.501,1450.391,1502.1530000000002,1413.7350000000001,1428.511,1289.193,1259.941,1283.573,1504.6070000000002,1658.3270000000002,2012.0810000000001,2047.9320000000002,2140.887,1971.4959999999999,1988.3079999999998,1830.2520000000002,1585.9379999999999,1681.2849999999999,1697.799,1744.5339999999999,1814.299,1629.397,1740.638,1860.78,1987.355,2071.681,1410.511,1317.078,1123.1950000000002,1291.109,990.858,908.513,790.65,847.504,701.265,594.807,466.822,533.38,514.057,429.84000000000003,441.662,283.477,349.67799999999994,323.37,276.779,324.632,235.98899999999998,266.76,248.34799999999998,218.68,102.18,86.502,250.203,722.457,2026.997,3666.692,5229.096,5001.349,3807.548,2981.1749999999997,2347.287,1067.7910000000002,1273.0680000000002,1045.714,866.074,651.468,607.332,469.796,414.12500000000006,407.647,447.079,496.31899999999996,375.33399999999995,347.683
Chile,0.104,0.572,2.185,19.415,55.85,95.14699999999999,121.79500000000002,121.017,134.081,216.008,392.298,641.4110000000001,1063.324,1313.998,1438.71,1722.9010000000003,1548.951,1385.151,1057.808,907.073,750.0369999999999,648.437,628.5020000000001,581.24,577.127,513.576,534.24,544.4409999999999,525.755,528.879,478.546,552.301,483.959,447.3670000000001,463.399,417.908,423.374,419.157,411.66099999999994,421.604,426.496,484.375,590.975,649.374,737.547,909.779,1219.945,1279.02,1254.505,1099.24,1061.244,1017.2090000000001,1097.418,1250.862,1509.55,1700.6770000000001,1937.9189999999999,2163.816,2131.075,2123.0589999999997,2006.73,1844.333,1666.7920000000001,1641.652,1856.1490000000001,1976.2269999999999,2173.029,2142.007,1874.261,1363.4969999999998,1039.486,829.1540000000001,592.7950000000001,409.998,358.102,301.88800000000003,256.033,215.903,180.821,153.96399999999997,129.60399999999998,144.334,168.85,212.67499999999998,233.601,321.51099999999997,457.36099999999993,557.87,569.894,749.673,736.8690000000001,725.9390000000001,598.938,403.38599999999997,410.257,369.918,383.55600000000004,659.628,1683.655,3492.6990000000005,6559.7339999999995,9842.62,10971.322,10437.238,8672.903999999999,6860.374,5242.821,4279.952,2770.4559999999997,1764.28,1176.742,899.89,685.2879999999999,617.83,738.3790000000001,1032.096,1553.426,733.017
Colombia,0.0,0.02,0.23399999999999999,2.653,6.691,12.855999999999998,20.814999999999998,14.239,24.579,36.36,53.954,72.583,81.76899999999999,127.00399999999999,163.833,172.259,283.42499999999995,366.89,407.952,534.2139999999999,712.131,835.664,1067.241,1190.3249999999998,1331.121,1276.659,1119.4399999999998,978.7990000000001,851.093,809.643,778.6669999999999,692.3520000000001,900.269,831.1,908.421,1081.42,1044.5359999999998,902.1600000000001,815.5529999999999,975.64,1033.71,910.157,1267.8999999999999,1534.062,1364.9820000000002,1739.1689999999999,1927.521,1880.0819999999999,1456.4089999999999,1089.497,662.469,524.424,444.2320000000001,418.347,416.886,494.36400000000003,705.1480000000001,1023.2350000000001,1307.089,1964.4059999999997,2037.7700000000002,1998.4070000000002,1772.721,1929.6280000000002,1730.529,2570.522,3023.1620000000003,2880.8650000000002,3197.2360000000003,3421.342,3334.814,2875.052,2122.231,1647.7640000000001,1160.48,843.895,506.92499999999995,376.527,278.275,225.822,191.00599999999997,175.90699999999998,180.666,173.429,165.60700000000003,155.483,151.915,182.714,201.01200000000003,269.984,263.08,295.42100000000005,257.50199999999995,208.872,229.413,252.97599999999997,697.7760000000001,1931.248,3430.589,3405.504,2405.4210000000003,1715.08,1007.318,479.8520000000001,293.645,168.37900000000002,98.312,69.50099999999999,45.917,38.602000000000004,35.599,32.068000000000005,24.637,25.532000000000004,19.077,32.595,74.026,0.0
