location,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202113,202114,202115,202116,202117,202118,202119,202120,202121,202122,202123,202124,202125,202126,202127,202128,202129,202130,202131,202132,202133,202134,202135,202136,202137,202138,202139,202140,202141,202142,202143,202144,202145,202146,202147,202148,202149,202150,202151,202152,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202213,202214,202215,202216,202217,202218,202219,202220,202221
Costa Rica,0.0,0.0,0.24,0.48,0.57,0.89,0.89,0.91,1.06,1.11,4.779999999999999,6.6,3.7,8.16,4.36,5.67,6.89,8.77,10.48,11.77,12.79,14.05,16.88,19.7,23.73,27.43,29.89,31.7,33.17,34.71,38.58,50.07,0.0,54.11,57.38,58.95,59.53,59.77,61.19,63.72,66.3,67.52,68.6,70.0,0.0,72.99,73.76,74.37,75.12,75.65,75.98,76.32,76.57,76.76,76.93,77.17,77.79,78.39,79.0,79.58,80.16,80.81,81.65,82.41,83.16,83.93,84.38,84.82,85.22,85.35,85.64,85.89,86.08,86.23,86.35
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,20.55,42.42999999999999,63.160000000000004,97.87,112.27000000000001,128.56,146.69,157.77,168.85,181.33,157.52,236.09999999999997,250.49,258.58,277.34000000000003,247.37,226.95999999999998,393.48,459.30999999999995,492.24,506.77,512.35,517.29,521.7,529.63,444.40000000000003,535.79,358.46000000000004,539.61,541.0200000000001,543.16,548.96,460.72,554.6700000000001,557.01,558.66,559.82,373.72,561.22,561.71,562.16,468.76,562.83,563.14,375.64,375.81,470.05999999999995,376.21,470.48,564.8899999999999,470.91,565.27,565.4300000000001,282.77
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,64.77,54.010000000000005,0.0,43.45,49.12,0.0,24.87,50.45,25.63,26.14,26.46,53.519999999999996,54.54,54.93,27.78,55.87,28.13,28.25,28.34,0.0,28.8,28.95,0.0,0.0,29.86,30.96,31.26,31.77,32.28,32.72,34.82,36.43,37.14,37.98,38.51,38.79,39.08,39.61,0.0,39.85,80.31,80.9,40.77,0.0,85.25999999999999,85.73,86.14,86.55,88.23,88.42,88.71000000000001,88.93,89.07,89.27,89.41999999999999,89.78999999999999,89.9,45.02,45.11,45.13,45.17,45.19,45.21,45.25,0.0
Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.37,7.84,18.55,6.16,7.3,7.82,0.0,8.31,0.0,59.48,74.19,104.07,119.36,165.50000000000003,185.78,224.38,236.32000000000002,257.65,178.96,280.14,289.33000000000004,295.83000000000004,301.24,305.61,309.25,311.83000000000004,315.34999999999997,318.84999999999997,322.19,325.42,328.99,331.70000000000005,334.28,339.38,354.34,365.89,369.97,372.42,311.85,375.52,376.71999999999997,314.91999999999996,378.84,316.3,316.63,380.48,381.21000000000004,318.34000000000003,382.7,319.71,384.36,386.18000000000006,388.7699999999999,195.08999999999997,260.93,326.92,327.52000000000004,196.79000000000002,328.34000000000003,262.91,263.02,394.71000000000004,394.84,394.98,395.15,197.65999999999997
Ecuador,0.0,0.0,0.0,0.0,0.04,0.18000000000000002,0.35000000000000003,0.28,0.55,1.6800000000000002,2.79,4.909999999999999,8.049999999999999,10.73,13.320000000000002,17.18,20.759999999999998,28.310000000000002,37.260000000000005,48.43000000000001,54.800000000000004,60.68,68.06,72.31,80.97,90.17999999999999,101.6,112.21000000000001,132.64,189.32,261.3,308.97,346.87,355.86,356.54,358.87,181.03,181.77,244.14999999999998,309.02000000000004,377.73999999999995,385.86,390.89,399.97999999999996,416.23999999999995,424.6700000000001,432.5,442.85,454.34999999999997,462.19,466.54,470.65999999999997,473.77,476.09,478.83000000000004,483.5400000000001,487.99,490.36,491.82,493.05,493.97,494.96999999999997,495.66999999999996,496.36,497.01,497.43,414.82,421.03,505.72999999999996,506.21999999999997,506.94,507.57,423.3,0.0,0.0
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997,0.0,0.0,1.57,0.75,6.5,5.21,26.240000000000002,20.049999999999997,59.650000000000006,56.88,45.69,81.59,68.19,53.129999999999995,59.7,64.72,92.25999999999999,52.650000000000006,86.18,129.39,185.06,207.76,181.49,240.45,252.95000000000002,209.18,219.23000000000002,230.7,177.7,242.55,249.85999999999999,318.16999999999996,322.82,130.18,131.97,133.13,267.87,134.56,270.4,135.75,272.67,205.20999999999998,205.85000000000002,68.78,68.83,0.0,69.33,208.36,69.55,69.8,139.7,0.0,140.13,0.0,210.65000000000003,140.57,70.36,70.38,0.0,70.45,70.5,0.0,0.0,70.61,0.0
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,3.71,0.0,0.0,15.06,8.69,8.92,19.09,19.72,31.360000000000003,22.22,11.5,12.16,14.45,15.35,15.9,16.29,16.83,17.27,17.72,17.96,18.25,18.59,18.98,19.13,38.769999999999996,19.74,21.21,23.08,25.23,27.24,29.32,30.56,31.64,32.52,33.34,33.81,34.25,34.73,35.14,0.0,71.6,36.22,36.33,36.53,0.0,36.96,37.21,37.43,37.58,37.7,37.82,75.80000000000001,76.01,38.05,0.0,38.26,76.61,76.65,38.33,38.37,38.39,38.42,38.46,38.49,38.54,0.0
Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.27,1.67,2.66,3.42,4.11,4.85,5.25,4.57,5.94,6.67,10.3,12.509999999999998,14.989999999999998,16.619999999999997,19.44,23.53,21.34,27.08,29.910000000000004,32.48,52.49,68.01,68.13000000000001,93.1,102.45000000000002,110.7,59.47,129.63000000000002,139.25,146.99,154.46999999999997,162.5,168.32,172.76999999999998,176.46,180.36,184.93,191.24,197.45,202.76,207.38,211.82999999999998,214.17000000000002,216.07,219.24,222.71,225.74,228.46,231.15,155.42000000000002,78.57,79.5,80.19,80.97,82.91,85.58,43.76,44.1,44.16,44.5,44.65,44.79,44.93,0.0
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.23,0.0,0.0,1.96,0.0,4.14,0.0,16.85,14.15,15.69,19.07,0.0,0.0,23.69,25.79,54.55,28.3,57.97,118.14999999999999,59.84,30.42,92.68,126.16,64.25999999999999,105.41999999999999,36.42,154.62,119.39,123.69,85.86,88.39,90.08000000000001,184.55,93.47,94.92,95.89,194.10999999999999,196.8,248.77999999999997,100.69,202.94,102.19,51.38,0.0,51.94,0.0,52.76,53.08,53.49,107.32,108.18,54.28,109.09,109.56,169.31,119.14,119.39,119.52000000000001,59.85,59.9,59.97,60.02,60.12,60.17,60.23,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.22000000000000003,0.48,0.6300000000000001,0.38,0.92,0.53,0.94,0.37,0.37,0.84,0.55,1.24,0.69,0.76,1.67,1.76,1.9500000000000002,0.0,0.0,0.0,2.1,0.0,1.07,0.0,0.0,1.12,0.0,1.25,0.0,1.3,1.32,1.35,1.37,1.38,1.42,2.8899999999999997,1.45,1.51,1.52,1.56,1.57,1.59,1.6,0.0
