date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,-6.569536423841059,-2.630252100840336,-15.68284789644013,-14.753086419753087,5.266272189349112,1.2616822429906542
2020-02-16,-5.907801418439717,1.0185185185185186,-14.738853503184714,-17.493827160493826,-0.29850746268656714,2.5
2020-02-17,-4.377952755905512,1.1363636363636365,-7.422641509433962,2.8974358974358974,15.296296296296296,-1.288
2020-02-18,-4.661417322834645,-1.6238532110091743,-7.338403041825095,1.7733333333333334,16.084656084656086,-1.6507936507936507
2020-02-19,-5.909090909090909,-4.467889908256881,-8.819852941176471,0.4358974358974359,13.041450777202073,-1.905511811023622
2020-02-20,-5.28030303030303,-4.715596330275229,-8.2,0.02631578947368421,6.791878172588833,-0.4435483870967742
2020-02-21,-7.093525179856115,-4.769911504424779,-10.111486486486486,1.3333333333333333,12.526881720430108,-0.5166666666666667
2020-02-22,-7.8933333333333335,-5.857142857142857,-11.948717948717949,-4.609756097560975,3.8265895953757227,0.5
2020-02-23,-8.070921985815604,-5.296296296296297,-12.613924050632912,-8.417721518987342,-1.736842105263158,1.880952380952381
2020-02-24,-9.536,-7.072727272727272,-12.952029520295204,-2.569620253164557,9.765625,-0.21951219512195122
2020-02-25,-10.515873015873016,-8.481481481481481,-13.408088235294118,-2.324675324675325,10.735751295336788,-0.48760330578512395
2020-02-26,-7.809160305343512,-6.10091743119266,-7.808988764044944,-2.151898734177215,13.46875,-1.453125
2020-02-27,-6.572519083969466,-3.308411214953271,-10.523297491039427,-2.1772151898734178,13.828125,-1.3565891472868217
2020-02-28,-2.9214285714285713,3.5982142857142856,-9.25,-1.1219512195121952,21.405555555555555,-2.48
2020-02-29,0.673469387755102,7.285714285714286,-6.629032258064516,-5.105882352941176,9.802395209580839,-1.0458715596330275
2020-03-01,0.05714285714285714,10.166666666666666,-8.079617834394904,-7.3875,3.282442748091603,0.7142857142857143
2020-03-02,-2.3622047244094486,6.216216216216216,-7.6992481203007515,1.6153846153846154,17.79787234042553,-1.8253968253968254
2020-03-03,-3.48,2.5555555555555554,-8.198529411764707,-0.32051282051282054,18.29100529100529,-1.8818897637795275
2020-03-04,-3.1893939393939394,1.4907407407407407,-6.159259259259259,-1.5316455696202531,16.036082474226806,-2.0076923076923077
2020-03-05,-3.046153846153846,1.5700934579439252,-5.9781818181818185,-0.4358974358974359,15.796875,-1.9384615384615385
2020-03-06,-3.978102189781022,-0.6071428571428571,-9.683501683501683,0.13253012048192772,22.229508196721312,-2.256
2020-03-07,-2.08,2.191666666666667,-9.72168284789644,-6.662650602409639,10.275449101796408,-0.22727272727272727
2020-03-08,6.571428571428571,4.972222222222222,-5.118971061093248,-10.234567901234568,4.369230769230769,0.7469879518072289
2020-03-09,-8.173228346456693,-2.8440366972477062,-12.325925925925926,-2.367088607594937,16.827225130890053,-0.8188976377952756
