epiweek,Cases
2020-11-15,231.0
2020-11-16,221.0
2020-11-17,188.0
2020-11-18,215.0
2020-11-19,217.0
2020-11-20,213.0
2020-11-21,230.0
2020-11-22,224.0
2020-11-23,217.0
2020-11-24,232.0
2020-11-25,205.0
2020-11-26,232.0
2020-11-27,231.0
2020-11-28,219.0
2020-11-29,211.0
2020-11-30,200.0
2020-12-01,211.0
2020-12-02,217.0
2020-12-03,216.0
2020-12-04,202.0
2020-12-05,215.0
2020-12-06,217.0
2020-12-07,224.0
2020-12-08,218.0
2020-12-09,227.0
2020-12-10,220.0
2020-12-11,252.0
2020-12-12,224.0
2020-12-13,241.0
2020-12-14,220.0
2020-12-15,247.0
2020-12-16,267.0
2020-12-17,265.0
2020-12-18,278.0
2020-12-19,277.0
2020-12-20,284.0
2020-12-21,304.0
2020-12-22,287.0
2020-12-23,287.0
2020-12-24,301.0
2020-12-25,271.0
2020-12-26,313.0
2020-12-27,275.0
2020-12-28,309.0
2020-12-29,370.0
2020-12-30,343.0
2020-12-31,304.0
2021-01-01,377.0
2021-01-02,328.0
2021-01-03,304.0
2021-01-04,336.0
2021-01-05,352.0
2021-01-06,399.0
2021-01-07,428.0
2021-01-08,357.0
2021-01-09,407.0
2021-01-10,389.0
2021-01-11,427.0
2021-01-12,427.0
2021-01-13,447.0
2021-01-14,418.0
2021-01-15,441.0
2021-01-16,430.0
2021-01-17,470.0
2021-01-18,461.0
2021-01-19,471.0
2021-01-20,447.0
2021-01-21,480.0
2021-01-22,417.0
2021-01-23,392.0
2021-01-24,419.0
2021-01-25,451.0
2021-01-26,419.0
2021-01-27,405.0
2021-01-28,367.0
2021-01-29,373.0
2021-01-30,354.0
2021-01-31,340.0
2021-02-01,324.0
2021-02-02,330.0
2021-02-03,328.0
2021-02-04,322.0
2021-02-05,310.0
2021-02-06,288.0
2021-02-07,306.0
2021-02-08,256.0
2021-02-09,275.0
2021-02-10,250.0
2021-02-11,206.0
2021-02-12,250.0
2021-02-13,222.0
2021-02-14,240.0
2021-02-15,190.0
2021-02-16,215.0
2021-02-17,229.0
2021-02-18,215.0
2021-02-19,187.0
2021-02-20,179.0
2021-02-21,188.0
2021-02-22,181.0
2021-02-23,197.0
2021-02-24,175.0
2021-02-25,157.0
2021-02-26,157.0
2021-02-27,150.0
2021-02-28,163.0
2021-03-01,128.0
2021-03-02,138.0
2021-03-03,146.0
2021-03-04,153.0
2021-03-05,159.0
2021-03-06,177.0
2021-03-07,150.0
2021-03-08,135.0
2021-03-09,141.0
2021-03-10,129.0
2021-03-11,125.0
2021-03-12,130.0
2021-03-13,163.0
2021-03-14,149.0
2021-03-15,158.0
2021-03-16,142.0
2021-03-17,162.0
2021-03-18,142.0
2021-03-19,156.0
2021-03-20,148.0
2021-03-21,196.0
2021-03-22,174.0
2021-03-23,165.0
2021-03-24,165.0
2021-03-25,193.0
2021-03-26,213.0
2021-03-27,180.0
2021-03-28,183.0
2021-03-29,233.0
2021-03-30,229.0
2021-03-31,236.0
2021-04-01,231.0
2021-04-02,238.0
2021-04-03,235.0
2021-04-04,289.0
2021-04-05,319.0
2021-04-06,308.0
2021-04-07,332.0
2021-04-08,321.0
2021-04-09,382.0
2021-04-10,363.0
2021-04-11,341.0
2021-04-12,417.0
2021-04-13,453.0
2021-04-14,462.0
2021-04-15,449.0
2021-04-16,463.0
2021-04-17,499.0
2021-04-18,476.0
2021-04-19,528.0
2021-04-20,516.0
2021-04-21,571.0
2021-04-22,538.0
2021-04-23,514.0
2021-04-24,509.0
2021-04-25,460.0
2021-04-26,540.0
2021-04-27,529.0
2021-04-28,556.0
2021-04-29,518.0
2021-04-30,514.0
2021-05-01,556.0
2021-05-02,560.0
2021-05-03,543.0
2021-05-04,509.0
2021-05-05,558.0
2021-05-06,543.0
2021-05-07,583.0
2021-05-08,533.0
2021-05-09,504.0
2021-05-10,576.0
2021-05-11,575.0
2021-05-12,545.0
2021-05-13,537.0
2021-05-14,562.0
2021-05-15,534.0
2021-05-16,538.0
2021-05-17,536.0
2021-05-18,564.0
2021-05-19,564.0
2021-05-20,531.0
2021-05-21,595.0
2021-05-22,543.0
2021-05-23,577.0
2021-05-24,545.0
2021-05-25,517.0
2021-05-26,578.0
2021-05-27,564.0
2021-05-28,624.0
2021-05-29,575.0
2021-05-30,585.0
2021-05-31,622.0
2021-06-01,571.0
2021-06-02,598.0
2021-06-03,603.0
2021-06-04,611.0
2021-06-05,623.0
2021-06-06,611.0
2021-06-07,618.0
2021-06-08,607.0
2021-06-09,665.0
2021-06-10,661.0
2021-06-11,659.0
2021-06-12,664.0
2021-06-13,673.0
2021-06-14,679.0
2021-06-15,662.0
2021-06-16,666.0
2021-06-17,674.0
2021-06-18,620.0
2021-06-19,674.0
2021-06-20,684.0
2021-06-21,716.0
2021-06-22,672.0
2021-06-23,682.0
2021-06-24,694.0
2021-06-25,666.0
2021-06-26,592.0
2021-06-27,586.0
2021-06-28,662.0
2021-06-29,682.0
2021-06-30,640.0
2021-07-01,626.0
2021-07-02,621.0
2021-07-03,647.0
2021-07-04,615.0
2021-07-05,623.0
2021-07-06,635.0
2021-07-07,604.0
2021-07-08,599.0
2021-07-09,509.0
2021-07-10,534.0
2021-07-11,529.0
2021-07-12,539.0
2021-07-13,534.0
2021-07-14,508.0
2021-07-15,525.0
2021-07-16,516.0
2021-07-17,430.0
2021-07-18,454.0
2021-07-19,388.0
2021-07-20,407.0
2021-07-21,411.0
2021-07-22,378.0
2021-07-23,367.0
2021-07-24,337.0
2021-07-25,325.0
2021-07-26,326.0
2021-07-27,349.0
2021-07-28,343.0
2021-07-29,329.0
2021-07-30,262.0
2021-07-31,279.0
2021-08-01,295.0
2021-08-02,275.0
2021-08-03,227.0
2021-08-04,212.0
2021-08-05,211.0
2021-08-06,238.0
2021-08-07,217.0
2021-08-08,174.0
2021-08-09,202.0
2021-08-10,193.0
2021-08-11,179.0
2021-08-12,174.0
2021-08-13,153.0
2021-08-14,152.0
2021-08-15,154.0
2021-08-16,145.0
2021-08-17,137.0
2021-08-18,141.0
2021-08-19,132.0
2021-08-20,138.0
2021-08-21,131.0
2021-08-22,115.0
2021-08-23,142.0
2021-08-24,116.0
2021-08-25,106.0
2021-08-26,93.0
2021-08-27,111.0
2021-08-28,99.0
2021-08-29,105.0
2021-08-30,80.0
2021-08-31,102.0
2021-09-01,85.0
2021-09-02,80.0
2021-09-03,89.0
2021-09-04,67.0
2021-09-05,73.0
2021-09-06,58.0
2021-09-07,95.0
2021-09-08,77.0
2021-09-09,91.0
2021-09-10,68.0
2021-09-11,91.0
2021-09-12,79.0
2021-09-13,76.0
