epiweek,Cases
2020-10-27,9743.0
2020-10-28,8225.0
2020-10-29,9141.0
2020-10-30,8966.0
2020-10-31,7192.0
2020-11-01,5489.0
2020-11-02,5534.0
2020-11-03,8600.0
2020-11-04,7321.0
2020-11-05,7373.0
2020-11-06,8462.0
2020-11-07,6686.0
2020-11-08,5641.0
2020-11-09,10107.0
2020-11-10,7679.0
2020-11-11,6562.0
2020-11-12,8988.0
2020-11-13,8738.0
2020-11-14,6380.0
2020-11-15,4981.0
2020-11-16,5922.0
2020-11-17,7922.0
2020-11-18,7037.0
2020-11-19,9325.0
2020-11-20,8598.0
2020-11-21,6945.0
2020-11-22,5572.0
2020-11-23,10733.0
2020-11-24,8363.0
2020-11-25,8202.0
2020-11-26,9656.0
2020-11-27,8405.0
2020-11-28,7274.0
2020-11-29,4403.0
2020-11-30,9291.0
2020-12-01,8883.0
2020-12-02,8910.0
2020-12-03,10192.0
2020-12-04,11094.0
2020-12-05,9278.0
2020-12-06,6212.0
2020-12-07,12421.0
2020-12-08,6251.0
2020-12-09,11711.0
2020-12-10,14047.0
2020-12-11,13402.0
2020-12-12,11315.0
2020-12-13,7308.0
2020-12-14,13112.0
2020-12-15,15032.0
2020-12-16,12753.0
2020-12-17,14746.0
2020-12-18,13654.0
2020-12-19,12800.0
2020-12-20,9789.0
2020-12-21,14585.0
2020-12-22,15823.0
2020-12-23,13695.0
2020-12-24,13533.0
2020-12-25,7709.0
2020-12-26,14199.0
2020-12-27,9450.0
2020-12-28,20212.0
2020-12-29,17691.0
2020-12-30,17694.0
2020-12-31,10455.0
2021-01-01,5156.0
2021-01-02,11787.0
2021-01-03,10544.0
2021-01-04,21719.0
2021-01-05,21296.0
2021-01-06,19356.0
2021-01-07,20806.0
2021-01-08,20587.0
2021-01-09,16173.0
2021-01-10,10309.0
2021-01-11,11469.0
2021-01-12,22505.0
2021-01-13,21436.0
2021-01-14,19628.0
2021-01-15,15543.0
2021-01-16,12143.0
2021-01-17,7967.0
2021-01-18,13388.0
2021-01-19,12629.0
2021-01-20,24010.0
2021-01-21,11846.0
2021-01-22,11713.0
2021-01-23,11081.0
2021-01-24,6045.0
2021-01-25,10205.0
2021-01-26,9027.0
2021-01-27,8227.0
2021-01-28,7803.0
2021-01-29,7718.0
2021-01-30,6068.0
2021-01-31,3951.0
2021-02-01,6977.0
2021-02-02,5595.0
2021-02-03,5268.0
2021-02-04,4997.0
2021-02-05,5096.0
2021-02-06,4316.0
2021-02-07,3196.0
2021-02-08,5318.0
2021-02-09,4537.0
2021-02-10,4232.0
2021-02-11,4665.0
2021-02-12,4199.0
2021-02-13,3247.0
2021-02-14,2202.0
2021-02-15,4350.0
2021-02-16,4223.0
2021-02-17,3466.0
2021-02-18,4301.0
2021-02-19,4054.0
2021-02-20,3296.0
2021-02-21,2505.0
2021-02-22,4438.0
2021-02-23,4343.0
2021-02-24,3574.0
2021-02-25,3942.0
2021-02-26,3767.0
2021-02-27,3919.0
2021-02-28,2439.0
2021-03-01,3969.0
2021-03-02,4032.0
2021-03-03,3640.0
2021-03-04,4055.0
2021-03-05,3957.0
2021-03-06,3583.0
2021-03-07,3060.0
2021-03-08,4731.0
2021-03-09,4660.0
2021-03-10,4418.0
2021-03-11,4385.0
2021-03-12,5125.0
2021-03-13,4807.0
2021-03-14,4011.0
2021-03-15,7706.0
2021-03-16,7277.0
2021-03-17,6252.0
2021-03-18,8129.0
2021-03-19,8378.0
2021-03-20,6969.0
2021-03-21,6287.0
2021-03-22,4606.0
2021-03-23,9571.0
2021-03-24,9519.0
2021-03-25,11356.0
2021-03-26,11836.0
2021-03-27,10779.0
2021-03-28,7694.0
2021-03-29,13041.0
2021-03-30,12782.0
2021-03-31,13013.0
2021-04-01,7555.0
