date,retail_and_recreation_percent_change_from_baseline_Argentina,grocery_and_pharmacy_percent_change_from_baseline_Argentina,parks_percent_change_from_baseline_Argentina,transit_stations_percent_change_from_baseline_Argentina,workplaces_percent_change_from_baseline_Argentina,residential_percent_change_from_baseline_Argentina
2020-02-15,-0.660436137071651,-2.574324324324324,-2.493573264781491,-1.1037735849056605,0.4444444444444444,0.6137339055793991
2020-02-16,-6.285714285714286,-5.429864253393665,-12.264102564102565,-4.385365853658537,-3.261904761904762,2.1405405405405404
2020-02-17,-8.941780821917808,-6.601307189542483,-18.907103825136613,-4.694444444444445,8.779036827195467,1.1910112359550562
2020-02-18,-1.0538720538720538,0.27666666666666667,-7.495934959349594,0.37799043062200954,10.201117318435754,-0.2574626865671642
2020-02-19,-0.4119601328903654,-1.0888157894736843,1.9313186813186813,2.6699029126213594,12.274285714285714,-1.4148148148148147
2020-02-20,-1.7105263157894737,-0.31353135313531355,-6.175675675675675,2.5023696682464456,9.679775280898877,-0.5985130111524164
2020-02-21,-0.7255520504731862,2.0,-7.05440414507772,8.19815668202765,10.15126050420168,-0.7211895910780669
2020-02-22,5.2634920634920634,6.125423728813559,6.289817232375979,9.904306220095695,-0.10778443113772455,-0.008620689655172414
2020-02-23,13.082191780821917,8.490825688073395,16.794805194805196,0.41708542713567837,-1.7328767123287672,0.4734042553191489
2020-02-24,-5.608843537414966,-13.743150684931507,29.076246334310852,-16.89099526066351,-42.04485488126649,5.6798245614035086
2020-02-25,-16.826666666666668,-17.184931506849313,0.814404432132964,-9.707920792079207,-37.6710875331565,6.05
2020-02-26,0.5858585858585859,1.230263157894737,0.5441988950276243,9.396039603960396,14.205128205128204,-1.945054945054945
2020-02-27,-2.3717105263157894,-0.7128712871287128,-5.8038147138964575,0.9906103286384976,13.748587570621469,-0.5055350553505535
2020-02-28,-1.8370607028753994,-0.1465798045602606,-7.091623036649215,-1.4479638009049773,14.439093484419264,-0.5830258302583026
2020-02-29,2.7950310559006213,3.7643097643097643,-5.870466321243524,-2.7209302325581395,3.7545454545454544,1.4382978723404256
2020-03-01,-2.6877076411960132,2.2590909090909093,-7.5424164524421595,-6.048076923076923,-0.7157534246575342,2.4510869565217392
2020-03-02,0.684931506849315,3.3311475409836064,-3.991549295774648,-2.437209302325581,19.068571428571428,-1.4501845018450183
2020-03-03,-1.7050847457627119,2.5083056478405314,-7.40771349862259,-1.2115384615384615,18.595988538681947,-1.070110701107011
2020-03-04,-1.9273927392739274,1.0165016501650166,-3.1187845303867405,-0.5893719806763285,20.060171919770774,-1.6691176470588236
2020-03-05,-1.2918032786885245,2.9672131147540983,-6.823848238482385,-0.6398104265402843,19.65909090909091,-1.4485294117647058
2020-03-06,1.75,4.6980519480519485,-5.552356020942408,1.1636363636363636,20.797142857142855,-2.032967032967033
2020-03-07,2.6137071651090342,5.891891891891892,-6.1139896373057,-4.514018691588785,4.394495412844036,1.5127118644067796
2020-03-08,3.5397350993377485,4.447488584474886,-5.7846153846153845,-5.577669902912621,0.30584192439862545,2.3967391304347827
2020-03-09,-0.21843003412969283,3.4281045751633985,-8.705882352941176,-0.6093023255813953,16.552706552706553,-0.6022304832713755
2020-03-10,0.5938566552901023,5.966442953020135,-7.162087912087912,0.3883495145631068,20.695156695156694,-1.7647058823529411
2020-03-11,-13.217105263157896,-5.66,-20.91780821917808,-8.087378640776699,17.914529914529915,-0.0625
2020-03-12,-5.44336569579288,5.636065573770492,-12.277929155313352,-2.5865384615384617,19.829545454545453,-1.3357664233576643
2020-03-13,-7.827586206896552,5.673202614379085,-13.292746113989637,-5.100456621004566,19.914529914529915,-0.9154411764705882
2020-03-14,-17.276923076923076,2.806122448979592,-31.98987341772152,-22.451612903225808,-0.9057750759878419,6.393805309734513
2020-03-15,-27.08910891089109,11.738532110091743,-36.283208020050125,-26.22641509433962,-8.20945945945946,8.698863636363637
2020-03-16,-24.215753424657535,4.75,-33.57608695652174,-25.072727272727274,3.089635854341737,6.177606177606178
2020-03-17,-38.08445945945946,-14.551495016611296,-47.91798941798942,-34.22790697674419,-7.96969696969697,10.450980392156863
2020-03-18,-39.07796610169491,-12.80718954248366,-44.680851063829785,-36.34299516908212,-14.683060109289617,11.651821862348179
2020-03-19,-39.45214521452145,1.430921052631579,-47.90861618798956,-40.981735159817354,-20.640750670241285,12.199170124481327
2020-03-20,-73.51013513513513,-41.42567567567568,-72.07853403141361,-74.08290155440415,-50.43112244897959,28.00497512437811
2020-03-21,-79.26689189189189,-50.29044117647059,-78.89276139410188,-79.31137724550898,-51.89531680440771,27.67878787878788
2020-03-22,-85.57661290322581,-63.753768844221106,-85.5945945945946,-84.02797202797203,-54.576219512195124,27.559701492537314
2020-03-23,-85.13671875,-64.38823529411765,-81.80851063829788,-85.98684210526316,-70.40149625935162,31.303797468354432
2020-03-24,-85.21212121212122,-64.77220077220078,-82.10670731707317,-85.32885906040268,-70.84615384615384,31.044585987261147
2020-03-25,-78.86131386861314,-51.179577464788736,-76.45845272206304,-78.61585365853658,-59.86967418546366,27.76595744680851
2020-03-26,-79.3273381294964,-52.842293906810035,-76.96629213483146,-79.40853658536585,-59.77,29.16931216931217
2020-03-27,-77.55172413793103,-49.84827586206897,-75.00804289544236,-78.15976331360947,-57.54135338345865,31.264550264550266
2020-03-28,-78.16271186440677,-48.79347826086956,-77.37830687830687,-79.51785714285714,-53.32222222222222,28.395209580838323
2020-03-29,-84.34817813765183,-62.9452736318408,-84.31858407079646,-84.66197183098592,-53.76060606060606,27.583333333333332
