date,retail_and_recreation_percent_change_from_baseline_Chile,grocery_and_pharmacy_percent_change_from_baseline_Chile,parks_percent_change_from_baseline_Chile,transit_stations_percent_change_from_baseline_Chile,workplaces_percent_change_from_baseline_Chile,residential_percent_change_from_baseline_Chile
2020-03-17,-29.5625,-7.133333333333334,-35.88732394366197,-26.96825396825397,-6.230769230769231,9.12280701754386
2020-03-18,-36.03076923076923,-7.366666666666666,-42.267605633802816,-30.49206349206349,-12.676923076923076,12.157894736842104
2020-03-19,-47.66153846153846,-24.396825396825395,-47.42253521126761,-39.3125,-21.56923076923077,16.526315789473685
2020-03-20,-51.01538461538462,-28.57377049180328,-50.04225352112676,-46.078125,-24.753846153846155,19.789473684210527
2020-03-21,-61.671875,-38.96825396825397,-62.28169014084507,-53.578125,-29.65625,21.14
2020-03-22,-70.37096774193549,-51.46774193548387,-68.43661971830986,-64.03225806451613,-34.875,22.404255319148938
2020-03-23,-59.698412698412696,-41.67213114754098,-57.46478873239437,-56.75806451612903,-34.621212121212125,21.75438596491228
2020-03-24,-61.19047619047619,-42.24590163934426,-57.97142857142857,-55.91935483870968,-37.878787878787875,21.803571428571427
2020-03-25,-61.09375,-42.09836065573771,-58.05714285714286,-56.79032258064516,-38.8955223880597,22.75
2020-03-26,-61.317460317460316,-40.868852459016395,-57.65714285714286,-59.29032258064516,-39.1044776119403,23.196428571428573
2020-03-27,-61.40625,-42.09836065573771,-58.84285714285714,-60.65625,-38.878787878787875,26.035714285714285
2020-03-28,-64.25,-44.70967741935484,-64.45714285714286,-63.79365079365079,-36.109375,23.44
2020-03-29,-70.8,-58.66129032258065,-69.25714285714285,-69.25806451612904,-37.484375,23.022222222222222
2020-03-30,-56.359375,-39.22950819672131,-55.01428571428571,-59.403225806451616,-38.776119402985074,21.649122807017545
2020-03-31,-54.421875,-35.75409836065574,-52.521126760563384,-56.11290322580645,-39.36363636363637,20.303571428571427
2020-04-01,-55.66153846153846,-35.80327868852459,-54.72857142857143,-57.0,-39.63636363636363,21.446428571428573
2020-04-02,-58.73015873015873,-39.721311475409834,-56.91428571428571,-61.095238095238095,-41.21212121212121,23.071428571428573
2020-04-03,-58.65079365079365,-40.0,-58.042857142857144,-60.806451612903224,-39.92424242424242,25.071428571428573
2020-04-04,-62.28125,-43.12903225806452,-63.92857142857143,-62.24193548387097,-37.015625,21.571428571428573
2020-04-05,-68.75409836065573,-55.903225806451616,-68.5072463768116,-68.5,-38.4375,20.266666666666666
2020-04-06,-56.5,-39.01639344262295,-55.628571428571426,-59.46774193548387,-39.40298507462686,20.214285714285715
2020-04-07,-56.564516129032256,-37.26229508196721,-55.95774647887324,-56.983870967741936,-40.45454545454545,19.428571428571427
2020-04-08,-57.854838709677416,-38.064516129032256,-56.84285714285714,-56.75806451612903,-40.43939393939394,20.214285714285715
2020-04-09,-55.04838709677419,-31.883333333333333,-54.24285714285714,-55.33870967741935,-40.81818181818182,19.035714285714285
2020-04-10,-80.0,-59.557377049180324,-71.55072463768116,-75.85714285714286,-71.04477611940298,34.61224489795919
2020-04-11,-74.28125,-55.83870967741935,-70.54285714285714,-72.03225806451613,-51.30769230769231,24.857142857142858
2020-04-12,-73.59677419354838,-60.354838709677416,-72.8,-73.38709677419355,-38.46875,21.19148936170213
2020-04-13,-57.37096774193548,-42.34426229508197,-57.614285714285714,-59.29032258064516,-39.09090909090909,20.482142857142858
2020-04-14,-58.064516129032256,-41.22950819672131,-57.72857142857143,-57.92063492063492,-39.878787878787875,20.0
2020-04-15,-58.29032258064516,-40.0655737704918,-58.11267605633803,-57.65079365079365,-39.63636363636363,20.803571428571427
2020-04-16,-58.96825396825397,-40.75409836065574,-58.857142857142854,-59.96825396825397,-40.03030303030303,21.517857142857142
