date,retail_and_recreation_percent_change_from_baseline_Trinidad and Tobago,grocery_and_pharmacy_percent_change_from_baseline_Trinidad and Tobago,parks_percent_change_from_baseline_Trinidad and Tobago,transit_stations_percent_change_from_baseline_Trinidad and Tobago,workplaces_percent_change_from_baseline_Trinidad and Tobago,residential_percent_change_from_baseline_Trinidad and Tobago
2021-07-10,-47.0,15.0,-38.0,-57.0,-29.0,4.0
2021-07-11,-49.0,4.0,-45.0,-66.0,-21.0,2.0
2021-07-12,-34.0,22.0,-25.0,-48.0,-44.0,5.0
2021-07-13,-37.0,22.0,-28.0,-47.0,-45.0,6.0
2021-07-14,-37.0,22.0,-26.0,-47.0,-45.0,6.0
2021-07-15,-38.0,17.0,-27.0,-50.0,-46.0,6.0
2021-07-16,-36.0,32.0,-23.0,-48.0,-42.0,6.0
2021-07-17,-43.0,17.0,-35.0,-50.0,-28.0,3.0
2021-07-18,-39.0,18.0,-34.0,-58.0,-16.0,0.0
2021-07-19,-17.0,22.0,-10.0,-39.0,-43.0,2.0
2021-07-20,-18.0,23.0,-11.0,-41.0,-43.0,3.0
2021-07-21,-21.0,22.0,-14.0,-39.0,-43.0,4.0
2021-07-22,-24.0,18.0,-16.0,-41.0,-44.0,5.0
2021-07-23,-24.0,24.0,-18.0,-43.0,-40.0,5.0
2021-07-24,-28.0,19.0,-28.0,-46.0,-25.0,1.0
2021-07-25,-22.0,24.0,-29.0,-53.0,-15.0,-1.0
2021-07-26,-19.0,24.0,-13.0,-39.0,-42.0,3.0
2021-07-27,-18.0,27.0,-14.0,-40.0,-41.0,4.0
2021-07-28,-16.0,30.0,-18.0,-38.0,-41.0,3.0
2021-07-29,-21.0,26.0,-23.0,-39.0,-44.0,7.0
2021-07-30,-14.0,43.0,-11.0,-34.0,-38.0,3.0
2021-07-31,-20.0,36.0,-22.0,-36.0,-21.0,-1.0
2021-08-01,-16.0,40.0,-21.0,-49.0,-14.0,-2.0
2021-08-02,-43.0,-2.0,-13.0,-67.0,-78.0,14.0
2021-08-03,-10.0,40.0,-14.0,-32.0,-39.0,1.0
2021-08-04,-12.0,41.0,-14.0,-33.0,-40.0,2.0
2021-08-05,-14.0,32.0,-10.0,-34.0,-40.0,3.0
2021-08-06,-17.0,35.0,-10.0,-36.0,-36.0,3.0
2021-08-07,-23.0,26.0,-22.0,-36.0,-18.0,-1.0
2021-08-08,-19.0,29.0,-23.0,-49.0,-10.0,-2.0
2021-08-09,-16.0,25.0,-12.0,-36.0,-38.0,2.0
2021-08-10,-12.0,33.0,-6.0,-36.0,-38.0,2.0
2021-08-11,-15.0,31.0,-10.0,-34.0,-38.0,2.0
2021-08-12,-20.0,20.0,-17.0,-39.0,-39.0,4.0
2021-08-13,-19.0,30.0,-12.0,-38.0,-34.0,4.0
2021-08-14,-21.0,26.0,-24.0,-37.0,-18.0,-1.0
2021-08-15,-24.0,18.0,-33.0,-50.0,-13.0,0.0
2021-08-16,1.0,40.0,-2.0,-27.0,-37.0,0.0
2021-08-17,-4.0,36.0,-9.0,-29.0,-37.0,1.0
2021-08-18,-26.0,10.0,-31.0,-41.0,-41.0,7.0
2021-08-19,-6.0,31.0,-14.0,-32.0,-37.0,2.0
2021-08-20,-10.0,34.0,-11.0,-31.0,-32.0,2.0
2021-08-21,-9.0,35.0,-19.0,-29.0,-13.0,-2.0
2021-08-22,-10.0,34.0,-22.0,-46.0,-8.0,-3.0
2021-08-23,-6.0,28.0,-13.0,-30.0,-35.0,1.0
2021-08-24,-5.0,34.0,-8.0,-29.0,-34.0,1.0
2021-08-25,-2.0,40.0,-6.0,-27.0,-34.0,0.0
2021-08-26,-4.0,36.0,-8.0,-27.0,-35.0,1.0
2021-08-27,-3.0,46.0,-3.0,-25.0,-30.0,0.0
2021-08-28,-5.0,42.0,-16.0,-18.0,-10.0,-4.0
2021-08-29,-2.0,50.0,-13.0,-41.0,-4.0,-3.0
2021-08-30,13.0,60.0,7.0,-21.0,-34.0,-3.0
2021-08-31,-33.0,10.0,-2.0,-63.0,-75.0,12.0
2021-09-01,3.0,52.0,-6.0,-22.0,-32.0,-1.0
2021-09-02,0.0,42.0,-3.0,-23.0,-32.0,-1.0
2021-09-03,-13.0,30.0,-19.0,-30.0,-29.0,1.0
2021-09-04,-8.0,36.0,-23.0,-28.0,-9.0,-1.0
2021-09-05,-14.0,33.0,-24.0,-42.0,-6.0,-1.0
2021-09-06,0.0,39.0,-2.0,-26.0,-31.0,0.0
2021-09-07,-4.0,34.0,-5.0,-27.0,-30.0,1.0
2021-09-08,-7.0,33.0,-9.0,-27.0,-31.0,1.0
2021-09-09,-5.0,30.0,-7.0,-26.0,-31.0,1.0
2021-09-10,-8.0,36.0,-6.0,-26.0,-26.0,1.0
2021-09-11,-6.0,39.0,-12.0,-26.0,-5.0,-3.0
2021-09-12,-6.0,43.0,-11.0,-40.0,-4.0,-4.0
2021-09-13,-5.0,33.0,-1.0,-26.0,-30.0,0.0
2021-09-14,-8.0,31.0,-5.0,-30.0,-30.0,1.0
2021-09-15,-9.0,33.0,-10.0,-26.0,-31.0,1.0
2021-09-16,-9.0,32.0,-8.0,-27.0,-31.0,1.0
2021-09-17,-8.0,38.0,-7.0,-26.0,-27.0,2.0
2021-09-18,-7.0,38.0,-13.0,-25.0,-5.0,-3.0
2021-09-19,-5.0,44.0,-11.0,-36.0,-4.0,-4.0
2021-09-20,-5.0,33.0,-2.0,-28.0,-28.0,0.0
2021-09-21,-6.0,33.0,-5.0,-29.0,-28.0,1.0
2021-09-22,-6.0,37.0,-9.0,-25.0,-27.0,1.0
2021-09-23,7.0,53.0,3.0,-17.0,-27.0,-1.0
2021-09-24,-34.0,18.0,-4.0,-57.0,-71.0,12.0
2021-09-25,-4.0,40.0,-15.0,-22.0,-6.0,-3.0
2021-09-26,-3.0,47.0,-13.0,-32.0,-2.0,-5.0
2021-09-27,1.0,39.0,-1.0,-22.0,-27.0,-1.0
2021-09-28,2.0,43.0,-1.0,-22.0,-26.0,0.0
2021-09-29,-1.0,42.0,-6.0,-22.0,-27.0,0.0
2021-09-30,0.0,41.0,-3.0,-22.0,-26.0,0.0
2021-10-01,-1.0,49.0,-2.0,-18.0,-22.0,0.0
2021-10-02,0.0,48.0,-11.0,-15.0,-1.0,-4.0
2021-10-03,-2.0,50.0,-16.0,-31.0,-2.0,-4.0
2021-10-04,0.0,43.0,-1.0,-21.0,-26.0,-1.0
2021-10-05,2.0,44.0,0.0,-28.0,-26.0,0.0
2021-10-06,-2.0,41.0,-6.0,-20.0,-26.0,0.0
2021-10-07,-5.0,34.0,-8.0,-22.0,-27.0,1.0
2021-10-08,-2.0,44.0,-2.0,-17.0,-23.0,0.0
2021-10-09,-4.0,40.0,-9.0,-15.0,-2.0,-4.0
2021-10-10,3.0,49.0,-6.0,-31.0,-1.0,-5.0
2021-10-11,1.0,39.0,3.0,-19.0,-25.0,-1.0
2021-10-12,0.0,40.0,0.0,-19.0,-25.0,-1.0
2021-10-13,-6.0,32.0,-13.0,-23.0,-26.0,0.0
2021-10-14,-5.0,32.0,-5.0,-25.0,-25.0,0.0
2021-10-15,-2.0,41.0,-1.0,-22.0,-21.0,0.0
2021-10-16,1.0,44.0,-5.0,-21.0,-1.0,-4.0
2021-10-17,6.0,50.0,-4.0,-34.0,-1.0,-5.0
2021-10-18,0.0,37.0,-1.0,-23.0,-25.0,-1.0
2021-10-19,-4.0,34.0,-6.0,-24.0,-25.0,0.0
2021-10-20,-1.0,40.0,-7.0,-23.0,-25.0,0.0
2021-10-21,-3.0,35.0,-4.0,-23.0,-25.0,1.0
2021-10-22,-3.0,40.0,-4.0,-22.0,-20.0,1.0
2021-10-23,0.0,44.0,-7.0,-19.0,-1.0,-4.0
2021-10-24,7.0,52.0,-9.0,-34.0,0.0,-5.0
2021-10-25,-1.0,37.0,-7.0,-24.0,-25.0,0.0
2021-10-26,3.0,43.0,-3.0,-25.0,-23.0,-1.0
2021-10-27,-1.0,42.0,-14.0,-25.0,-26.0,1.0
2021-10-28,4.0,46.0,-3.0,-21.0,-23.0,-1.0
2021-10-29,6.0,54.0,3.0,-14.0,-19.0,-2.0
2021-10-30,8.0,56.0,-2.0,-10.0,2.0,-6.0
2021-10-31,20.0,69.0,-4.0,-24.0,6.0,-7.0
2021-11-01,15.0,64.0,7.0,-13.0,-20.0,-5.0
2021-11-02,13.0,65.0,3.0,-15.0,-21.0,-4.0
2021-11-03,16.0,80.0,4.0,-12.0,-22.0,-4.0
2021-11-04,-38.0,5.0,-7.0,-59.0,-76.0,11.0
2021-11-05,1.0,43.0,-2.0,-17.0,-22.0,-1.0
2021-11-06,3.0,43.0,-5.0,-11.0,0.0,-5.0
2021-11-07,11.0,50.0,-6.0,-27.0,2.0,-6.0
2021-11-08,6.0,45.0,2.0,-13.0,-21.0,-3.0
2021-11-09,6.0,45.0,1.0,-16.0,-21.0,-2.0
2021-11-10,4.0,45.0,-3.0,-18.0,-22.0,-2.0
2021-11-11,1.0,38.0,-3.0,-18.0,-22.0,-1.0
2021-11-12,2.0,43.0,-2.0,-20.0,-17.0,-1.0
2021-11-13,4.0,43.0,-7.0,-12.0,2.0,-5.0
2021-11-14,13.0,54.0,-5.0,-27.0,6.0,-6.0
2021-11-15,8.0,47.0,4.0,-15.0,-20.0,-2.0
2021-11-16,8.0,49.0,2.0,-19.0,-20.0,-2.0
2021-11-17,5.0,47.0,-3.0,-14.0,-21.0,-1.0
2021-11-18,2.0,37.0,-6.0,-16.0,-22.0,-1.0
2021-11-19,4.0,44.0,-1.0,-16.0,-17.0,0.0
2021-11-20,6.0,44.0,-6.0,-12.0,3.0,-5.0
2021-11-21,17.0,55.0,-4.0,-23.0,7.0,-6.0
2021-11-22,7.0,46.0,1.0,-14.0,-20.0,-2.0
2021-11-23,7.0,45.0,-2.0,-18.0,-20.0,-1.0
2021-11-24,6.0,47.0,-3.0,-18.0,-21.0,-1.0
2021-11-25,7.0,44.0,-2.0,-16.0,-22.0,-1.0
2021-11-26,12.0,53.0,2.0,-14.0,-18.0,-1.0
2021-11-27,11.0,50.0,-10.0,-6.0,2.0,-5.0
2021-11-28,29.0,70.0,-2.0,-23.0,9.0,-6.0
2021-11-29,20.0,61.0,5.0,-11.0,-21.0,-2.0
2021-11-30,16.0,57.0,-1.0,-15.0,-22.0,-1.0
2021-12-01,13.0,60.0,-6.0,-15.0,-23.0,0.0
2021-12-02,12.0,53.0,-3.0,-16.0,-23.0,0.0
2021-12-03,11.0,56.0,2.0,-14.0,-18.0,-1.0
2021-12-04,11.0,51.0,-8.0,-9.0,3.0,-5.0
2021-12-05,29.0,66.0,-6.0,-21.0,12.0,-6.0
2021-12-06,18.0,59.0,7.0,-13.0,-22.0,-2.0
2021-12-07,15.0,57.0,0.0,-15.0,-21.0,-1.0
2021-12-08,13.0,56.0,-3.0,-13.0,-22.0,-1.0
2021-12-09,11.0,50.0,-4.0,-14.0,-23.0,0.0
2021-12-10,10.0,51.0,-2.0,-16.0,-18.0,0.0
2021-12-11,3.0,40.0,-20.0,-8.0,5.0,-3.0
2021-12-12,26.0,61.0,-21.0,-22.0,13.0,-4.0
2021-12-13,14.0,56.0,-9.0,-13.0,-24.0,0.0
2021-12-14,11.0,52.0,-12.0,-17.0,-24.0,1.0
2021-12-15,22.0,67.0,-2.0,-12.0,-23.0,-1.0
2021-12-16,23.0,66.0,-1.0,-10.0,-24.0,-2.0
2021-12-17,18.0,65.0,-1.0,-10.0,-20.0,-1.0
2021-12-18,21.0,64.0,-7.0,3.0,8.0,-6.0
2021-12-19,60.0,98.0,-1.0,-8.0,30.0,-8.0
2021-12-20,43.0,92.0,11.0,-3.0,-25.0,-4.0
2021-12-21,39.0,91.0,2.0,-5.0,-27.0,-3.0
2021-12-22,39.0,98.0,0.0,-5.0,-28.0,-4.0
2021-12-23,49.0,119.0,10.0,1.0,-32.0,-4.0
2021-12-24,22.0,110.0,0.0,-17.0,-44.0,1.0
2021-12-25,-65.0,-44.0,-28.0,-58.0,-57.0,7.0
2021-12-26,0.0,11.0,-6.0,-30.0,-17.0,-3.0
2021-12-27,-22.0,6.0,16.0,-50.0,-77.0,12.0
2021-12-28,15.0,53.0,8.0,-25.0,-40.0,3.0
2021-12-29,13.0,53.0,6.0,-24.0,-40.0,3.0
2021-12-30,17.0,59.0,9.0,-20.0,-40.0,2.0
2021-12-31,3.0,76.0,8.0,-28.0,-43.0,3.0
2022-01-01,-56.0,-38.0,-18.0,-45.0,-54.0,6.0
2022-01-02,-8.0,27.0,-11.0,-33.0,-9.0,-2.0
2022-01-03,4.0,44.0,2.0,-16.0,-24.0,1.0
2022-01-04,0.0,40.0,-4.0,-19.0,-23.0,2.0
2022-01-05,0.0,42.0,-4.0,-16.0,-23.0,2.0
2022-01-06,-2.0,35.0,-2.0,-16.0,-22.0,3.0
2022-01-07,-2.0,38.0,-2.0,-18.0,-18.0,3.0
2022-01-08,-4.0,35.0,-1.0,-15.0,1.0,-1.0
2022-01-09,-1.0,36.0,-2.0,-29.0,1.0,-3.0
2022-01-10,0.0,38.0,1.0,-17.0,-20.0,1.0
2022-01-11,-1.0,36.0,-3.0,-21.0,-19.0,2.0
2022-01-12,-4.0,36.0,-7.0,-20.0,-20.0,3.0
2022-01-13,-4.0,31.0,-4.0,-20.0,-21.0,3.0
2022-01-14,0.0,40.0,-1.0,-19.0,-16.0,3.0
2022-01-15,-2.0,38.0,-1.0,-19.0,3.0,0.0
2022-01-16,3.0,38.0,6.0,-30.0,4.0,-2.0
2022-01-17,0.0,39.0,0.0,-19.0,-19.0,3.0
2022-01-18,-2.0,35.0,-8.0,-21.0,-19.0,4.0
2022-01-19,-2.0,37.0,-6.0,-19.0,-19.0,5.0
2022-01-20,-4.0,33.0,-4.0,-20.0,-19.0,5.0
2022-01-21,-1.0,39.0,-6.0,-18.0,-15.0,5.0
2022-01-22,0.0,40.0,-2.0,-12.0,4.0,0.0
2022-01-23,6.0,44.0,7.0,-28.0,4.0,-2.0
2022-01-24,6.0,45.0,1.0,-14.0,-18.0,3.0
2022-01-25,7.0,48.0,1.0,-18.0,-18.0,3.0
2022-01-26,5.0,47.0,-4.0,-14.0,-19.0,4.0
2022-01-27,3.0,41.0,-7.0,-16.0,-19.0,4.0
2022-01-28,7.0,50.0,1.0,-12.0,-14.0,4.0
2022-01-29,7.0,48.0,1.0,-10.0,5.0,-1.0
2022-01-30,14.0,51.0,7.0,-23.0,7.0,-2.0
2022-01-31,10.0,50.0,4.0,-13.0,-17.0,2.0
2022-02-01,8.0,52.0,3.0,-15.0,-17.0,3.0
2022-02-02,6.0,52.0,1.0,-15.0,-18.0,3.0
2022-02-03,5.0,45.0,1.0,-17.0,-18.0,4.0
2022-02-04,6.0,50.0,2.0,-15.0,-13.0,3.0
2022-02-05,8.0,48.0,4.0,-12.0,5.0,-1.0
2022-02-06,13.0,52.0,13.0,-24.0,5.0,-2.0
2022-02-07,6.0,48.0,0.0,-11.0,-16.0,2.0
2022-02-08,5.0,45.0,1.0,-17.0,-16.0,2.0
2022-02-09,3.0,44.0,-3.0,-14.0,-18.0,3.0
2022-02-10,1.0,39.0,-4.0,-17.0,-17.0,3.0
2022-02-11,5.0,46.0,0.0,-12.0,-12.0,2.0
2022-02-12,7.0,46.0,3.0,-9.0,7.0,-1.0
2022-02-13,19.0,58.0,17.0,-22.0,10.0,-3.0
2022-02-14,26.0,68.0,15.0,-7.0,-14.0,-1.0
2022-02-15,2.0,41.0,0.0,-15.0,-15.0,2.0
2022-02-16,-17.0,27.0,4.0,-17.0,-21.0,-12.0
2022-02-17,0.0,39.0,-2.0,-19.0,-19.0,-3.0
2022-02-18,2.0,41.0,2.0,-16.0,-12.0,1.0
2022-02-19,0.0,38.0,4.0,-12.0,4.0,-1.0
2022-02-20,9.0,45.0,16.0,-26.0,5.0,-3.0
2022-02-21,3.0,42.0,7.0,-11.0,-15.0,1.0
2022-02-22,0.0,36.0,-2.0,-16.0,-14.0,2.0
2022-02-23,0.0,40.0,-5.0,-11.0,-15.0,3.0
2022-02-24,1.0,37.0,1.0,-14.0,-14.0,2.0
2022-02-25,9.0,52.0,6.0,-11.0,-10.0,2.0
2022-02-26,7.0,50.0,2.0,-1.0,6.0,-2.0
2022-02-27,18.0,58.0,7.0,-19.0,9.0,-3.0
2022-02-28,10.0,55.0,19.0,-9.0,-16.0,1.0
2022-03-01,12.0,57.0,13.0,-10.0,-16.0,1.0
2022-03-02,8.0,56.0,9.0,-5.0,-14.0,2.0
2022-03-03,5.0,47.0,11.0,-10.0,-12.0,3.0
2022-03-04,7.0,50.0,12.0,-7.0,-7.0,4.0
2022-03-05,4.0,43.0,4.0,-6.0,8.0,2.0
2022-03-06,18.0,54.0,25.0,-19.0,10.0,-1.0
2022-03-07,4.0,47.0,11.0,-5.0,-10.0,4.0
2022-03-08,4.0,43.0,9.0,-9.0,-9.0,6.0
2022-03-09,1.0,42.0,8.0,-9.0,-10.0,7.0
2022-03-10,1.0,38.0,13.0,-12.0,-9.0,8.0
2022-03-11,4.0,44.0,17.0,-12.0,-4.0,8.0
2022-03-12,6.0,43.0,15.0,-8.0,11.0,5.0
2022-03-13,17.0,51.0,30.0,-19.0,12.0,2.0
2022-03-14,5.0,45.0,23.0,-7.0,-7.0,8.0
2022-03-15,2.0,43.0,14.0,-11.0,-7.0,9.0
2022-03-16,3.0,48.0,14.0,-5.0,-8.0,8.0
2022-03-17,3.0,41.0,17.0,-7.0,-8.0,8.0
2022-03-18,6.0,45.0,17.0,-7.0,-3.0,8.0
2022-03-19,6.0,44.0,18.0,-5.0,11.0,5.0
2022-03-20,17.0,52.0,31.0,-16.0,11.0,2.0
2022-03-21,3.0,43.0,21.0,-3.0,-6.0,8.0
2022-03-22,4.0,44.0,20.0,-11.0,-6.0,8.0
2022-03-23,2.0,44.0,15.0,-5.0,-7.0,8.0
2022-03-24,3.0,39.0,15.0,-9.0,-7.0,8.0
2022-03-25,7.0,47.0,16.0,-9.0,-3.0,8.0
2022-03-26,11.0,50.0,19.0,-2.0,12.0,4.0
2022-03-27,23.0,58.0,30.0,-15.0,13.0,2.0
2022-03-28,10.0,51.0,17.0,-5.0,-7.0,8.0
2022-03-29,29.0,70.0,29.0,-2.0,-6.0,4.0
2022-03-30,-13.0,27.0,50.0,-45.0,-70.0,19.0
2022-03-31,17.0,57.0,18.0,-4.0,-9.0,7.0
2022-04-01,14.0,58.0,20.0,-3.0,-4.0,6.0
2022-04-02,12.0,51.0,15.0,-2.0,12.0,2.0
2022-04-03,23.0,60.0,31.0,-8.0,15.0,1.0
2022-04-04,16.0,56.0,28.0,1.0,-12.0,6.0
2022-04-05,14.0,52.0,24.0,-2.0,-11.0,7.0
2022-04-06,10.0,49.0,20.0,1.0,-13.0,7.0
2022-04-07,9.0,45.0,19.0,-3.0,-13.0,8.0
2022-04-08,11.0,51.0,22.0,-1.0,-8.0,7.0
2022-04-09,14.0,49.0,23.0,5.0,15.0,3.0
2022-04-10,28.0,60.0,40.0,-8.0,19.0,1.0
2022-04-11,17.0,57.0,33.0,2.0,-12.0,7.0
2022-04-12,18.0,55.0,28.0,0.0,-12.0,7.0
2022-04-13,14.0,55.0,18.0,5.0,-14.0,7.0
2022-04-14,30.0,77.0,35.0,3.0,-14.0,4.0
2022-04-15,-29.0,10.0,23.0,-41.0,-68.0,22.0
2022-04-16,14.0,56.0,24.0,6.0,6.0,3.0
2022-04-17,26.0,56.0,63.0,-9.0,13.0,-1.0
2022-04-18,-18.0,16.0,48.0,-41.0,-73.0,19.0
2022-04-19,12.0,59.0,21.0,2.0,-8.0,6.0
2022-04-20,6.0,49.0,14.0,6.0,-6.0,6.0
2022-04-21,6.0,46.0,19.0,-3.0,-6.0,6.0
2022-04-22,10.0,50.0,18.0,-2.0,0.0,6.0
2022-04-23,11.0,47.0,14.0,3.0,16.0,5.0
2022-04-24,22.0,61.0,21.0,-13.0,19.0,3.0
2022-04-25,8.0,51.0,16.0,1.0,-4.0,6.0
2022-04-26,10.0,54.0,12.0,0.0,-4.0,7.0
2022-04-27,8.0,53.0,5.0,7.0,-6.0,7.0
2022-04-28,18.0,57.0,17.0,1.0,-5.0,6.0
2022-04-29,19.0,62.0,18.0,6.0,0.0,5.0
2022-04-30,22.0,63.0,16.0,20.0,16.0,2.0
2022-05-01,43.0,82.0,45.0,-3.0,21.0,0.0
2022-05-02,-19.0,23.0,42.0,-45.0,-72.0,19.0
2022-05-03,20.0,71.0,20.0,8.0,-4.0,5.0
2022-05-04,17.0,66.0,14.0,5.0,-4.0,6.0
2022-05-05,16.0,57.0,17.0,0.0,-5.0,6.0
2022-05-06,18.0,60.0,17.0,1.0,0.0,5.0
2022-05-07,23.0,66.0,16.0,4.0,16.0,2.0
2022-05-08,36.0,74.0,23.0,-8.0,19.0,0.0
2022-05-09,12.0,54.0,23.0,-2.0,-5.0,6.0
2022-05-10,13.0,52.0,18.0,1.0,-3.0,6.0
2022-05-11,10.0,54.0,16.0,3.0,-4.0,6.0
2022-05-12,9.0,48.0,18.0,0.0,-4.0,6.0
2022-05-13,13.0,52.0,17.0,3.0,1.0,6.0
