date,retail_and_recreation_percent_change_from_baseline_Bolivia,grocery_and_pharmacy_percent_change_from_baseline_Bolivia,parks_percent_change_from_baseline_Bolivia,transit_stations_percent_change_from_baseline_Bolivia,workplaces_percent_change_from_baseline_Bolivia,residential_percent_change_from_baseline_Bolivia
2020-02-15,3.1724137931034484,5.214285714285714,-1.6818181818181819,-6.352941176470588,9.1875,0.43478260869565216
2020-02-16,0.6666666666666666,9.375,-1.826086956521739,-6.647058823529412,4.758620689655173,2.55
2020-02-17,-1.8518518518518519,3.2142857142857144,0.08888888888888889,-5.363636363636363,19.151515151515152,-1.25
2020-02-18,-1.793103448275862,3.6206896551724137,-2.1333333333333333,-6.46875,19.303030303030305,-2.0416666666666665
2020-02-19,1.4444444444444444,6.592592592592593,3.13953488372093,-2.03125,22.5625,-2.3333333333333335
2020-02-20,3.5172413793103448,7.714285714285714,6.066666666666666,-0.45161290322580644,18.03030303030303,-1.9583333333333333
2020-02-21,0.43333333333333335,5.333333333333333,1.326086956521739,6.636363636363637,14.375,-0.4583333333333333
2020-02-22,7.172413793103448,12.321428571428571,20.704545454545453,10.64516129032258,-0.375,0.9130434782608695
2020-02-23,8.0,12.36,16.177777777777777,-2.5625,-1.4333333333333333,0.25
2020-02-24,-13.25925925925926,-4.666666666666667,-3.926829268292683,-11.03125,-46.2972972972973,10.0
2020-02-25,-28.666666666666668,-21.892857142857142,-15.909090909090908,-24.483870967741936,-52.55263157894737,11.590909090909092
2020-02-26,-13.964285714285714,-7.925925925925926,-7.409090909090909,-3.90625,7.242424242424242,1.875
2020-02-27,-9.62962962962963,-2.103448275862069,-3.688888888888889,-8.28125,16.352941176470587,0.0
2020-02-28,-6.633333333333334,-1.1428571428571428,-1.934782608695652,-15.057142857142857,19.0625,-0.4166666666666667
2020-02-29,-6.620689655172414,-0.4642857142857143,-1.9787234042553192,-11.941176470588236,8.40625,2.608695652173913
2020-03-01,-9.4,0.48,-10.458333333333334,-11.764705882352942,1.1333333333333333,4.6
2020-03-02,-7.222222222222222,-0.75,-3.977777777777778,-12.181818181818182,19.58823529411765,-1.2083333333333333
2020-03-03,-3.7857142857142856,-0.034482758620689655,-3.2,-10.272727272727273,21.5625,-1.5833333333333333
2020-03-04,-0.8148148148148148,3.0384615384615383,-0.1111111111111111,-7.878787878787879,24.09375,-1.8333333333333333
2020-03-05,-3.2962962962962963,1.0,-0.6888888888888889,-8.636363636363637,22.647058823529413,-1.5
2020-03-06,-1.2,1.9285714285714286,0.21739130434782608,-10.2,22.5625,-2.2083333333333335
2020-03-07,2.0,6.428571428571429,1.108695652173913,-8.029411764705882,10.84375,0.17391304347826086
2020-03-08,-0.4482758620689655,6.125,-4.212765957446808,-9.909090909090908,2.7586206896551726,2.25
2020-03-09,-3.7037037037037037,1.0357142857142858,-1.6,-12.34375,21.294117647058822,-1.625
2020-03-10,-2.142857142857143,2.0689655172413794,-2.6222222222222222,-13.28125,22.151515151515152,-2.8333333333333335
2020-03-11,-1.7037037037037037,9.518518518518519,0.7954545454545454,-10.696969696969697,23.96875,-2.375
2020-03-12,-5.111111111111111,5.137931034482759,-0.28888888888888886,-9.935483870967742,17.515151515151516,-0.08333333333333333
2020-03-13,-8.233333333333333,1.1785714285714286,-6.1521739130434785,-12.484848484848484,1.53125,4.708333333333333
2020-03-14,-10.89655172413793,0.03571428571428571,-9.872340425531915,-13.333333333333334,1.28125,4.913043478260869
2020-03-15,-19.24137931034483,-4.24,-17.48936170212766,-20.323529411764707,-3.7666666666666666,6.7
2020-03-16,-30.071428571428573,-14.5,-22.933333333333334,-27.625,-10.194444444444445,12.75
2020-03-17,-31.655172413793103,-16.137931034482758,-25.066666666666666,-35.60606060606061,-11.25,12.0
2020-03-18,-38.035714285714285,-19.59259259259259,-29.333333333333332,-40.02857142857143,-13.916666666666666,16.782608695652176
2020-03-19,-39.275862068965516,-24.185185185185187,-31.177777777777777,-43.416666666666664,-18.486486486486488,17.125
2020-03-20,-48.8,-27.333333333333332,-39.0625,-51.916666666666664,-21.10810810810811,20.73913043478261
2020-03-21,-40.193548387096776,-4.0,-32.8936170212766,-48.31428571428572,-20.558823529411764,14.761904761904763
2020-03-22,-76.63333333333334,-60.03846153846154,-65.85416666666667,-77.0,-48.333333333333336,29.23076923076923
2020-03-23,-78.67857142857143,-71.76,-68.17777777777778,-80.78125,-62.794871794871796,37.8
2020-03-24,-76.65517241379311,-68.92,-67.06666666666666,-79.93548387096774,-64.58974358974359,35.611111111111114
