date,retail_and_recreation_percent_change_from_baseline_Barbados,grocery_and_pharmacy_percent_change_from_baseline_Barbados,parks_percent_change_from_baseline_Barbados,transit_stations_percent_change_from_baseline_Barbados,workplaces_percent_change_from_baseline_Barbados,residential_percent_change_from_baseline_Barbados
2020-04-02,-58.142857142857146,-31.333333333333332,-55.333333333333336,-75.33333333333333,-68.5,29.0
2020-04-03,-62.57142857142857,-25.333333333333332,-52.333333333333336,-75.66666666666667,-71.1,27.0
2020-04-04,-95.8,-97.8,-92.0,-92.66666666666667,-80.85714285714286,
2020-04-05,-89.8,-93.0,-85.5,-91.66666666666667,-75.6,
2020-04-06,-92.33333333333333,-91.0,-76.0,-89.66666666666667,-83.4,39.0
2020-04-07,-90.0,-87.33333333333333,-81.0,-84.0,-82.25,37.0
2020-04-08,-85.66666666666667,-72.33333333333333,-74.66666666666667,-84.66666666666667,-79.3,35.0
2020-04-09,-81.66666666666667,-61.333333333333336,-67.66666666666667,-80.0,-79.0,33.0
2020-04-10,-95.0,-95.0,-83.0,-97.0,-90.28571428571429,
2020-04-11,-81.0,-65.33333333333333,-71.25,-82.33333333333333,-65.875,25.0
2020-04-12,-84.66666666666667,-89.33333333333333,-77.66666666666667,-88.33333333333333,-70.4,
2020-04-13,-91.66666666666667,-93.33333333333333,-73.0,-93.33333333333333,-89.375,40.0
2020-04-14,-84.33333333333333,-79.33333333333333,-68.66666666666667,-84.66666666666667,-75.8,34.0
2020-04-15,-71.66666666666667,-46.0,-61.333333333333336,-80.66666666666667,-72.4,30.0
2020-04-16,-74.33333333333333,-49.333333333333336,-64.33333333333333,-80.33333333333333,-73.1,32.0
2020-04-17,-74.0,-49.666666666666664,-61.5,-80.66666666666667,-69.9,35.0
2020-04-18,-77.66666666666667,-57.0,-68.25,-76.33333333333333,-59.857142857142854,23.0
2020-04-19,-79.33333333333333,-60.0,-75.66666666666667,-84.33333333333333,-61.4,17.0
2020-04-20,-76.66666666666667,-54.666666666666664,-63.666666666666664,-81.0,-70.1,31.0
2020-04-21,-78.33333333333333,-56.333333333333336,-62.666666666666664,-80.0,-69.8,31.0
2020-04-22,-72.66666666666667,-45.333333333333336,-61.0,-80.0,-69.9,30.0
2020-04-23,-78.0,-52.333333333333336,-65.0,-81.33333333333333,-71.9,32.0
2020-04-24,-74.66666666666667,-49.333333333333336,-62.25,-79.33333333333333,-69.7,34.0
2020-04-25,-77.33333333333333,-55.333333333333336,-66.5,-79.66666666666667,-59.285714285714285,23.0
2020-04-26,-79.66666666666667,-57.666666666666664,-71.33333333333333,-84.0,-58.8,17.0
2020-04-27,-71.66666666666667,-47.333333333333336,-56.333333333333336,-78.0,-68.2,31.0
2020-04-28,-93.0,-91.33333333333333,-77.66666666666667,-91.0,-86.66666666666667,37.0
2020-04-29,-68.66666666666667,-38.0,-59.0,-75.66666666666667,-67.9,29.0
2020-04-30,-66.33333333333333,-30.0,-54.666666666666664,-73.0,-67.2,28.0
2020-05-01,-93.33333333333333,-89.33333333333333,-73.66666666666667,-91.66666666666667,-86.7,43.0
2020-05-02,-74.0,-47.333333333333336,-66.75,-72.33333333333333,-55.857142857142854,22.0
2020-05-03,-79.33333333333333,-59.666666666666664,-71.0,-83.0,-56.2,17.0
2020-05-04,-60.666666666666664,-41.333333333333336,-46.333333333333336,-73.33333333333333,-54.5,26.0
2020-05-05,-61.666666666666664,-41.666666666666664,-47.333333333333336,-72.0,-54.2,24.0
2020-05-06,-56.333333333333336,-33.0,-40.0,-64.33333333333333,-54.666666666666664,23.0
2020-05-07,-59.666666666666664,-37.333333333333336,-42.333333333333336,-67.0,-56.7,24.5
2020-05-08,-60.666666666666664,-37.0,-43.25,-67.66666666666667,-53.6,26.5
2020-05-09,-61.333333333333336,-38.0,-37.666666666666664,-67.66666666666667,-46.285714285714285,19.0
2020-05-10,-66.66666666666667,-50.333333333333336,-50.0,-76.0,-47.5,14.0
2020-05-11,-60.666666666666664,-43.666666666666664,-41.0,-64.66666666666667,-51.0,23.5
2020-05-12,-62.0,-43.666666666666664,-38.333333333333336,-60.666666666666664,-51.6,23.5
2020-05-13,-56.666666666666664,-34.666666666666664,-35.666666666666664,-63.0,-51.6,22.5
2020-05-14,-59.333333333333336,-37.333333333333336,-40.0,-67.33333333333333,-54.0,23.0
2020-05-15,-63.0,-38.0,-44.0,-65.66666666666667,-49.4,26.0
2020-05-16,-62.333333333333336,-37.0,-46.0,-67.33333333333333,-42.833333333333336,18.0
2020-05-17,-67.0,-49.333333333333336,-46.333333333333336,-78.0,-46.0,14.0
2020-05-18,-49.333333333333336,-39.5,-33.666666666666664,-64.0,-45.8,22.0
2020-05-19,-51.333333333333336,-40.333333333333336,-33.333333333333336,-61.0,-46.888888888888886,22.0
2020-05-20,-50.666666666666664,-33.0,-39.333333333333336,-62.333333333333336,-47.55555555555556,22.0
2020-05-21,-49.666666666666664,-34.0,-32.666666666666664,-61.333333333333336,-46.7,22.5
2020-05-22,-52.25,-31.666666666666668,-36.25,-60.333333333333336,-43.77777777777778,23.0
2020-05-23,-47.666666666666664,-30.0,-30.0,-63.666666666666664,-36.166666666666664,16.0
2020-05-24,-57.333333333333336,-41.666666666666664,-38.666666666666664,-70.33333333333333,-39.5,13.0
2020-05-25,-45.0,-32.0,-26.333333333333332,-59.666666666666664,-44.888888888888886,21.0
2020-05-26,-46.666666666666664,-31.333333333333332,-30.666666666666668,-56.666666666666664,-42.77777777777778,20.0
2020-05-27,-39.666666666666664,-21.666666666666668,-19.666666666666668,-60.0,-43.77777777777778,19.5
2020-05-28,-44.666666666666664,-27.0,-29.333333333333332,-56.333333333333336,-44.333333333333336,21.0
2020-05-29,-49.0,-28.0,-32.75,-61.333333333333336,-42.25,23.0
2020-05-30,-45.333333333333336,-28.0,-25.333333333333332,-63.333333333333336,-31.333333333333332,15.0
2020-05-31,-55.333333333333336,-32.333333333333336,-38.0,-74.0,-35.0,12.0
