date,retail_and_recreation_percent_change_from_baseline_Dominican Republic,grocery_and_pharmacy_percent_change_from_baseline_Dominican Republic,parks_percent_change_from_baseline_Dominican Republic,transit_stations_percent_change_from_baseline_Dominican Republic,workplaces_percent_change_from_baseline_Dominican Republic,residential_percent_change_from_baseline_Dominican Republic
2020-03-12,-5.894736842105263,-2.9,-7.416666666666667,-7.090909090909091,-0.9333333333333333,1.375
2020-03-13,-1.1428571428571428,7.578947368421052,-4.208333333333333,-5.818181818181818,-12.466666666666667,2.933333333333333
2020-03-14,-4.409090909090909,13.476190476190476,-4.88,-10.272727272727273,-1.3103448275862069,1.5
2020-03-15,-18.666666666666668,-3.45,-8.307692307692308,-16.583333333333332,-8.0,1.1
2020-03-16,-4.166666666666667,4.722222222222222,-1.375,-13.545454545454545,-14.258064516129032,3.466666666666667
2020-03-17,-10.473684210526315,9.631578947368421,-16.695652173913043,-15.909090909090908,-15.096774193548388,5.133333333333334
2020-03-18,-19.954545454545453,3.6842105263157894,-23.391304347826086,-22.416666666666668,-22.64516129032258,8.714285714285714
2020-03-19,-46.18181818181818,-21.80952380952381,-43.12,-47.75,-41.96774193548387,19.0
2020-03-20,-58.95454545454545,-35.333333333333336,-54.28,-63.61538461538461,-52.6,25.166666666666668
2020-03-21,-67.58333333333333,-47.36,-62.53846153846154,-74.42857142857143,-50.93333333333333,24.2
2020-03-22,-71.82608695652173,-55.40909090909091,-68.20689655172414,-78.33333333333333,-46.535714285714285,21.142857142857142
2020-03-23,-61.61904761904762,-38.166666666666664,-56.88,-74.46153846153847,-59.96774193548387,29.1
2020-03-24,-66.31818181818181,-48.708333333333336,-59.04,-78.33333333333333,-62.064516129032256,29.9
2020-03-25,-68.28571428571429,-51.791666666666664,-59.52,-79.58333333333333,-63.354838709677416,31.3
2020-03-26,-69.23809523809524,-52.375,-59.92,-80.08333333333333,-64.38709677419355,32.3
2020-03-27,-72.17391304347827,-56.65217391304348,-64.46153846153847,-82.38461538461539,-66.1,34.4
2020-03-28,-75.1304347826087,-58.48,-69.37037037037037,-83.53846153846153,-58.43333333333333,28.857142857142858
2020-03-29,-76.04545454545455,-61.42857142857143,-71.62068965517241,-85.16666666666667,-50.3448275862069,24.333333333333332
2020-03-30,-64.57142857142857,-42.73913043478261,-57.2,-78.33333333333333,-62.774193548387096,30.3
2020-03-31,-66.54545454545455,-49.708333333333336,-59.0,-79.5,-63.96774193548387,30.5
2020-04-01,-68.38095238095238,-52.541666666666664,-58.56,-81.16666666666667,-63.96774193548387,32.1
2020-04-02,-68.85714285714286,-52.0,-59.56,-80.58333333333333,-64.29032258064517,32.8
2020-04-03,-67.95454545454545,-50.416666666666664,-60.16,-80.92307692307692,-63.233333333333334,33.3
2020-04-04,-71.43478260869566,-54.72,-66.77777777777777,-81.21428571428571,-54.733333333333334,27.625
2020-04-05,-74.18181818181819,-57.75,-69.41379310344827,-83.75,-46.82142857142857,23.285714285714285
2020-04-06,-65.42857142857143,-48.166666666666664,-58.24,-79.58333333333333,-60.516129032258064,30.8
