date,retail_and_recreation_percent_change_from_baseline_Peru,grocery_and_pharmacy_percent_change_from_baseline_Peru,parks_percent_change_from_baseline_Peru,transit_stations_percent_change_from_baseline_Peru,workplaces_percent_change_from_baseline_Peru,residential_percent_change_from_baseline_Peru
2020-02-15,3.1363636363636362,0.484375,1.443609022556391,1.8426966292134832,0.5227272727272727,-0.7166666666666667
2020-02-16,-1.4269662921348314,-1.6031746031746033,-2.255639097744361,2.546511627906977,-0.8048780487804879,0.4423076923076923
2020-02-17,-0.6941176470588235,0.65625,-0.5984251968503937,3.0786516853932584,2.0306122448979593,0.6
2020-02-18,-0.4117647058823529,0.109375,-0.5546875,2.6818181818181817,1.9285714285714286,0.4696969696969697
2020-02-19,-1.2470588235294118,-1.296875,0.2824427480916031,3.1379310344827585,1.5816326530612246,0.7230769230769231
2020-02-20,0.4418604651162791,1.09375,1.6124031007751938,3.875,0.8469387755102041,0.18461538461538463
2020-02-21,-1.0,-0.15625,1.0076923076923077,4.213483146067416,1.268041237113402,1.0769230769230769
2020-02-22,2.0930232558139537,1.5538461538461539,5.0534351145038165,5.795454545454546,0.5168539325842697,0.18333333333333332
2020-02-23,0.9655172413793104,0.2222222222222222,5.204545454545454,4.67816091954023,-0.5542168674698795,-0.07692307692307693
2020-02-24,0.29411764705882354,1.5625,4.78740157480315,3.4065934065934065,-0.6979166666666666,0.4307692307692308
2020-02-25,2.011764705882353,1.515625,5.310077519379845,3.534090909090909,0.336734693877551,-0.030303030303030304
2020-02-26,-1.0235294117647058,-0.46875,4.666666666666667,2.337078651685393,0.12244897959183673,0.18461538461538463
2020-02-27,0.09195402298850575,1.890625,2.952755905511811,2.781609195402299,0.10101010101010101,0.5384615384615384
2020-02-28,0.39080459770114945,2.4375,3.223076923076923,4.25,1.7525773195876289,0.23076923076923078
2020-02-29,1.5977011494252873,3.5,3.446969696969697,2.550561797752809,2.303370786516854,-0.7049180327868853
2020-03-01,-0.5340909090909091,2.873015873015873,-0.2706766917293233,2.788235294117647,0.7560975609756098,0.4230769230769231
2020-03-02,-1.4534883720930232,2.1875,-1.24,0.625,3.142857142857143,-0.2
2020-03-03,-1.3488372093023255,0.84375,-1.84375,-1.4367816091954022,3.5816326530612246,0.0
2020-03-04,-2.6,0.40625,-1.9923076923076923,-1.2954545454545454,3.5670103092783507,0.38461538461538464
2020-03-05,-1.7325581395348837,2.171875,-2.434108527131783,-2.160919540229885,3.878787878787879,0.48484848484848486
2020-03-06,-3.1511627906976742,-0.640625,-2.876923076923077,-2.146067415730337,4.824742268041237,0.6
2020-03-07,-0.09195402298850575,1.5625,-1.5151515151515151,-2.561797752808989,3.1777777777777776,1.0
2020-03-08,0.9885057471264368,1.2698412698412698,-3.037878787878788,-3.9651162790697674,3.580246913580247,0.5192307692307693
2020-03-09,-4.08235294117647,-0.875,-5.1171875,-3.191011235955056,4.11340206185567,0.6461538461538462
2020-03-10,-3.9647058823529413,-0.84375,-4.116279069767442,-5.1395348837209305,3.0103092783505154,1.0
2020-03-11,-6.447058823529412,-2.4375,-5.653846153846154,-5.920454545454546,2.5,1.4393939393939394
2020-03-12,-5.6117647058823525,3.765625,-5.8359375,-7.738636363636363,1.9175257731958764,2.1076923076923078
2020-03-13,-7.755813953488372,0.09375,-8.007692307692308,-9.522727272727273,0.5154639175257731,3.292307692307692
2020-03-14,-9.05813953488372,-3.109375,-7.7894736842105265,-12.233333333333333,-0.21348314606741572,3.933333333333333
2020-03-15,-12.674418604651162,4.412698412698413,-10.93233082706767,-12.611764705882353,-0.5121951219512195,4.038461538461538
2020-03-16,-29.14457831325301,8.109375,-17.51937984496124,-3.2111111111111112,-25.03030303030303,12.016129032258064
2020-03-17,-65.5,-50.046875,-50.30075187969925,-69.50561797752809,-52.470588235294116,29.23076923076923
2020-03-18,-69.8048780487805,-54.98412698412698,-56.11278195488722,-75.65116279069767,-56.36274509803921,31.96153846153846
2020-03-19,-72.48809523809524,-59.492063492063494,-59.27067669172932,-78.24418604651163,-59.359223300970875,34.255319148936174
2020-03-20,-73.5421686746988,-59.84126984126984,-60.5187969924812,-78.64367816091954,-59.13725490196079,36.733333333333334
2020-03-21,-74.83529411764705,-60.12307692307692,-61.74626865671642,-78.76136363636364,-54.85858585858586,33.38636363636363
2020-03-22,-75.45121951219512,-63.215384615384615,-64.21641791044776,-79.91566265060241,-46.522222222222226,27.65714285714286
2020-03-23,-72.58024691358025,-59.546875,-59.50375939849624,-79.68235294117648,-58.9126213592233,35.130434782608695
2020-03-24,-73.125,-59.92063492063492,-59.53787878787879,-79.0813953488372,-59.90196078431372,34.0625
2020-03-25,-72.9753086419753,-59.492063492063494,-59.53383458646616,-79.28235294117647,-59.94117647058823,34.234042553191486
2020-03-26,-72.22619047619048,-56.714285714285715,-58.962406015037594,-78.47674418604652,-59.36893203883495,34.0
2020-03-27,-71.64634146341463,-55.96825396825397,-57.11940298507463,-77.82758620689656,-56.96116504854369,35.1875
