date,retail_and_recreation_percent_change_from_baseline_Colombia,grocery_and_pharmacy_percent_change_from_baseline_Colombia,parks_percent_change_from_baseline_Colombia,transit_stations_percent_change_from_baseline_Colombia,workplaces_percent_change_from_baseline_Colombia,residential_percent_change_from_baseline_Colombia
2020-02-15,-6.5,-2.566666666666667,-15.648387096774194,-14.560975609756097,5.276470588235294,1.2592592592592593
2020-02-16,-5.866197183098592,1.055045871559633,-14.707936507936507,-17.29268292682927,-0.28888888888888886,2.4941176470588236
2020-02-17,-4.3515625,1.1531531531531531,-7.409774436090226,2.9367088607594938,15.294736842105262,-1.2857142857142858
2020-02-18,-4.6484375,-1.6,-7.321969696969697,1.881578947368421,16.089473684210525,-1.6456692913385826
2020-02-19,-5.902255639097745,-4.472727272727273,-8.805860805860807,0.5063291139240507,13.041237113402062,-1.90625
2020-02-20,-5.2781954887218046,-4.709090909090909,-8.192028985507246,0.05194805194805195,6.792929292929293,-0.448
2020-02-21,-7.057142857142857,-4.7368421052631575,-10.097643097643097,1.4146341463414633,12.529411764705882,-0.5206611570247934
2020-02-22,-7.854304635761589,-5.825,-11.936102236421725,-4.530120481927711,3.8275862068965516,0.4954128440366973
2020-02-23,-8.06338028169014,-5.284403669724771,-12.608832807570979,-8.375,-1.7388059701492538,1.8823529411764706
2020-02-24,-9.515873015873016,-7.045045045045045,-12.9375,-2.4625,9.7720207253886,-0.21774193548387097
2020-02-25,-10.496062992125983,-8.44954128440367,-13.391941391941392,-2.1923076923076925,10.74742268041237,-0.48360655737704916
2020-02-26,-7.795454545454546,-6.090909090909091,-7.798507462686567,-2.0375,13.466321243523316,-1.4573643410852712
2020-02-27,-6.5606060606060606,-3.2962962962962963,-10.507142857142858,-2.1,13.823834196891191,-1.3615384615384616
2020-02-28,-2.879432624113475,3.6283185840707963,-9.232323232323232,-0.9879518072289156,21.39779005524862,-2.484126984126984
2020-02-29,0.722972972972973,7.316666666666666,-6.614147909967846,-4.953488372093023,9.803571428571429,-1.0454545454545454
2020-03-01,0.09219858156028368,10.192660550458715,-8.06031746031746,-7.246913580246914,3.2803030303030303,0.7176470588235294
2020-03-02,-2.328125,6.232142857142857,-7.685393258426966,1.7468354430379747,17.793650793650794,-1.8267716535433072
