date,retail_and_recreation_percent_change_from_baseline_Uruguay,grocery_and_pharmacy_percent_change_from_baseline_Uruguay,parks_percent_change_from_baseline_Uruguay,transit_stations_percent_change_from_baseline_Uruguay,workplaces_percent_change_from_baseline_Uruguay,residential_percent_change_from_baseline_Uruguay
2020-03-27,-58.714285714285715,-37.523809523809526,-66.0,-62.22222222222222,-30.047619047619047,21.0
2020-03-28,-63.76190476190476,-37.333333333333336,-73.19047619047619,-67.22222222222223,-27.714285714285715,19.88888888888889
2020-03-29,-70.80952380952381,-43.523809523809526,-77.0,-73.375,-29.523809523809526,22.2
2020-03-30,-52.57142857142857,-34.04761904761905,-64.61904761904762,-60.11764705882353,-29.761904761904763,19.0
2020-03-31,-54.285714285714285,-30.714285714285715,-65.71428571428571,-59.470588235294116,-31.095238095238095,18.4
2020-04-01,-52.666666666666664,-25.38095238095238,-65.47619047619048,-58.0625,-32.04761904761905,19.0
2020-04-02,-48.476190476190474,-18.333333333333332,-62.76190476190476,-55.0,-32.42857142857143,19.555555555555557
2020-04-03,-44.095238095238095,-14.238095238095237,-59.666666666666664,-52.705882352941174,-28.761904761904763,19.3
2020-04-04,-51.76190476190476,-15.142857142857142,-68.28571428571429,-59.588235294117645,-24.80952380952381,18.444444444444443
2020-04-05,-65.9047619047619,-32.857142857142854,-76.66666666666667,-71.5,-28.952380952380953,21.4
2020-04-06,-50.76923076923077,-21.75,-61.857142857142854,-55.75,-38.23809523809524,20.11111111111111
2020-04-07,-51.6,-21.4375,-64.57142857142857,-56.0,-39.523809523809526,19.77777777777778
2020-04-08,-50.714285714285715,-22.285714285714285,-63.714285714285715,-55.4375,-40.095238095238095,19.555555555555557
2020-04-09,-58.0,-22.375,-65.52380952380952,-59.411764705882355,-47.857142857142854,22.0
2020-04-10,-75.625,-46.705882352941174,-72.42857142857143,-73.77777777777777,-59.19047619047619,28.857142857142858
2020-04-11,-65.75,-27.375,-71.57142857142857,-65.94444444444444,-36.61904761904762,20.857142857142858
2020-04-12,-69.42857142857143,-35.63636363636363,-75.52380952380952,-68.93333333333334,-26.0,20.4
2020-04-13,-45.25,-23.066666666666666,-61.095238095238095,-50.625,-24.238095238095237,15.583333333333334
2020-04-14,-54.5,-31.4375,-67.9047619047619,-56.1875,-27.714285714285715,18.0
2020-04-15,-48.76923076923077,-25.214285714285715,-62.523809523809526,-49.9375,-24.523809523809526,16.0
2020-04-16,-49.333333333333336,-25.125,-61.23809523809524,-50.375,-24.095238095238095,16.0
2020-04-17,-49.333333333333336,-23.823529411764707,-61.61904761904762,-49.470588235294116,-22.0,17.25
2020-04-18,-53.25,-23.11764705882353,-66.19047619047619,-56.22222222222222,-18.095238095238095,16.333333333333332
2020-04-19,-64.71428571428571,-38.18181818181818,-69.9047619047619,-66.29411764705883,-21.9,18.8
2020-04-20,-45.61538461538461,-25.4375,-55.142857142857146,-49.94444444444444,-18.761904761904763,14.0
2020-04-21,-48.86666666666667,-29.4375,-60.57142857142857,-50.55555555555556,-20.428571428571427,14.307692307692308
2020-04-22,-47.46666666666667,-28.133333333333333,-58.95238095238095,-50.27777777777778,-19.666666666666668,14.142857142857142
2020-04-23,-49.93333333333333,-30.470588235294116,-58.523809523809526,-50.68421052631579,-20.666666666666668,14.846153846153847
2020-04-24,-50.25,-29.823529411764707,-61.95238095238095,-51.73684210526316,-20.285714285714285,15.846153846153847
2020-04-25,-57.8125,-32.23529411764706,-71.0,-60.44444444444444,-18.904761904761905,18.22222222222222
2020-04-26,-65.14285714285714,-39.0,-73.28571428571429,-66.33333333333333,-22.95,19.0
2020-04-27,-49.92857142857143,-31.941176470588236,-64.23809523809524,-53.111111111111114,-18.857142857142858,15.461538461538462
2020-04-28,-59.666666666666664,-40.35294117647059,-71.71428571428571,-59.68421052631579,-25.904761904761905,14.5
2020-04-29,-42.57142857142857,-18.2,-57.333333333333336,-46.666666666666664,-16.428571428571427,12.866666666666667
2020-04-30,-36.93333333333333,-3.6,-52.57142857142857,-40.588235294117645,-17.333333333333332,11.066666666666666
2020-05-01,-75.52941176470588,-69.11111111111111,-65.14285714285714,-77.77777777777777,-62.476190476190474,28.833333333333332
2020-05-02,-44.3125,-11.5,-58.38095238095238,-51.529411764705884,-17.571428571428573,15.0
2020-05-03,-58.0,-32.72727272727273,-62.76190476190476,-59.4375,-18.2,16.2
2020-05-04,-42.15384615384615,-24.466666666666665,-59.19047619047619,-47.94117647058823,-14.952380952380953,12.933333333333334
2020-05-05,-39.07142857142857,-14.8125,-57.57142857142857,-43.88235294117647,-15.047619047619047,12.857142857142858
2020-05-06,-34.53846153846154,-10.714285714285714,-54.095238095238095,-39.0,-13.904761904761905,12.533333333333333
2020-05-07,-33.8,-13.0625,-50.61904761904762,-39.35294117647059,-14.333333333333334,12.066666666666666
2020-05-08,-31.066666666666666,-7.529411764705882,-50.142857142857146,-38.388888888888886,-10.666666666666666,12.266666666666667
2020-05-09,-33.266666666666666,-2.0625,-51.76190476190476,-39.4375,-9.238095238095237,12.444444444444445
2020-05-10,-47.5,-18.272727272727273,-53.333333333333336,-51.88235294117647,-4.8,13.166666666666666
2020-05-11,-32.38461538461539,-15.6,-46.857142857142854,-37.666666666666664,-10.095238095238095,11.0
2020-05-12,-36.642857142857146,-16.647058823529413,-48.714285714285715,-39.0,-10.761904761904763,11.133333333333333
2020-05-13,-35.15384615384615,-15.8,-48.142857142857146,-37.611111111111114,-10.19047619047619,11.333333333333334
2020-05-14,-33.25,-18.68421052631579,-49.38095238095238,-41.44444444444444,-11.19047619047619,10.4
2020-05-15,-32.9,-15.3,-52.476190476190474,-43.111111111111114,-9.333333333333334,12.4
2020-05-16,-32.78947368421053,-9.894736842105264,-46.0,-45.0,-7.428571428571429,11.777777777777779
2020-05-17,-41.21052631578947,-21.428571428571427,-45.095238095238095,-53.5,-11.1,13.666666666666666
2020-05-18,-32.44444444444444,-20.3,-43.57142857142857,-45.5,-23.80952380952381,12.538461538461538
2020-05-19,-29.55,-14.9,-41.5,-39.75,-7.333333333333333,9.933333333333334
2020-05-20,-30.05263157894737,-12.95,-41.38095238095238,-38.27777777777778,-8.285714285714286,10.2
2020-05-21,-46.95,-30.75,-65.42857142857143,-50.68421052631579,-17.0,15.071428571428571
2020-05-22,-46.7,-27.210526315789473,-66.85714285714286,-53.31578947368421,-14.666666666666666,16.23076923076923
2020-05-23,-41.35,-15.052631578947368,-60.476190476190474,-52.0625,-9.285714285714286,13.666666666666666
2020-05-24,-50.73684210526316,-25.785714285714285,-59.904761904761905,-59.611111111111114,-12.85,15.4
2020-05-25,-34.44444444444444,-19.5,-54.333333333333336,-43.333333333333336,-8.0,12.2
2020-05-26,-37.05,-22.75,-52.57142857142857,-44.94444444444444,-4.428571428571429,11.133333333333333
