date,retail_and_recreation_percent_change_from_baseline_El Salvador,grocery_and_pharmacy_percent_change_from_baseline_El Salvador,parks_percent_change_from_baseline_El Salvador,transit_stations_percent_change_from_baseline_El Salvador,workplaces_percent_change_from_baseline_El Salvador,residential_percent_change_from_baseline_El Salvador
2020-03-08,-1.75,-2.25,-3.1333333333333333,-7.125,2.466666666666667,1.0
2020-03-09,-2.3636363636363638,-0.5,-4.4,-3.5714285714285716,7.133333333333334,-0.4
2020-03-10,-2.3636363636363638,-0.5,-2.933333333333333,-4.0,6.4,-1.2
2020-03-11,-1.1818181818181819,10.5,-1.8666666666666667,-3.5714285714285716,5.8,-1.1
2020-03-12,-5.818181818181818,5.5,-5.8,-14.142857142857142,-7.733333333333333,4.0
2020-03-13,-7.454545454545454,8.25,-8.2,-13.75,-1.2666666666666666,4.25
2020-03-14,-11.454545454545455,4.333333333333333,-14.466666666666667,-16.0,-0.06666666666666667,4.833333333333333
2020-03-15,-23.333333333333332,0.375,-20.933333333333334,-22.75,-2.533333333333333,6.4
2020-03-16,-14.181818181818182,8.75,-14.733333333333333,-23.571428571428573,-9.266666666666667,6.5
2020-03-17,-20.636363636363637,3.25,-17.533333333333335,-26.0,-14.466666666666667,8.625
2020-03-18,-29.181818181818183,-5.875,-21.666666666666668,-33.285714285714285,-18.266666666666666,10.375
2020-03-19,-36.18181818181818,0.625,-29.4,-37.75,-30.133333333333333,15.625
2020-03-20,-46.54545454545455,-19.625,-38.2,-47.125,-33.333333333333336,22.0
2020-03-21,-54.61538461538461,-27.22222222222222,-47.06666666666667,-51.9,-29.733333333333334,19.5
2020-03-22,-79.5,-62.5,-70.0,-71.88888888888889,-48.266666666666666,24.333333333333332
2020-03-23,-71.63636363636364,-51.0,-58.6,-67.22222222222223,-60.0,33.0
2020-03-24,-74.45454545454545,-56.125,-61.4,-67.66666666666667,-63.13333333333333,33.0
2020-03-25,-73.18181818181819,-54.0,-61.13333333333333,-67.88888888888889,-62.53333333333333,33.333333333333336
2020-03-26,-73.0909090909091,-53.25,-60.4,-67.44444444444444,-62.6,33.833333333333336
2020-03-27,-71.36363636363636,-50.666666666666664,-59.6,-68.5,-58.4,33.833333333333336
2020-03-28,-75.23076923076923,-58.22222222222222,-64.93333333333334,-69.33333333333333,-51.53333333333333,28.8
2020-03-29,-78.91666666666667,-65.75,-69.4,-71.0,-44.2,24.333333333333332
2020-03-30,-64.0,-46.0,-52.733333333333334,-62.375,-58.13333333333333,31.333333333333332
2020-03-31,-63.916666666666664,-43.875,-53.333333333333336,-60.666666666666664,-57.86666666666667,30.0
2020-04-01,-64.66666666666667,-44.5,-53.86666666666667,-61.75,-58.06666666666667,30.833333333333332
2020-04-02,-66.08333333333333,-46.5,-55.0,-63.375,-58.86666666666667,31.5
2020-04-03,-67.16666666666667,-47.111111111111114,-56.333333333333336,-65.22222222222223,-55.0,32.833333333333336
2020-04-04,-71.07692307692308,-53.77777777777778,-62.4,-66.3,-48.666666666666664,29.0
2020-04-05,-75.75,-60.875,-67.2,-67.0,-41.333333333333336,24.0
2020-04-06,-62.90909090909091,-43.75,-53.4,-66.0,-59.6,31.666666666666668
2020-04-07,-69.0,-51.75,-58.266666666666666,-66.75,-62.93333333333333,32.0
2020-04-08,-70.5,-52.0,-58.8,-65.22222222222223,-63.93333333333333,33.166666666666664
2020-04-09,-74.81818181818181,-57.75,-61.4,-69.77777777777777,-70.0,37.8
2020-04-10,-82.36363636363636,-72.55555555555556,-69.13333333333334,-79.2,-74.2,45.333333333333336
2020-04-11,-81.25,-67.66666666666667,-71.2,-79.4,-63.0,34.0
2020-04-12,-80.16666666666667,-67.0,-72.33333333333333,-75.44444444444444,-47.2,25.333333333333332
2020-04-13,-67.63636363636364,-49.5,-59.2,-65.66666666666667,-60.4,33.5
2020-04-14,-67.91666666666667,-49.22222222222222,-57.93333333333333,-64.22222222222223,-58.8,32.0
2020-04-15,-66.5,-46.375,-56.86666666666667,-65.125,-57.93333333333333,31.666666666666668
2020-04-16,-66.83333333333333,-46.0,-56.0,-63.888888888888886,-58.6,32.333333333333336
2020-04-17,-67.0,-47.888888888888886,-58.333333333333336,-67.66666666666667,-54.333333333333336,34.0
2020-04-18,-73.07692307692308,-56.44444444444444,-64.6,-69.9,-49.93333333333333,29.8
2020-04-19,-80.08333333333333,-66.77777777777777,-71.6,-73.44444444444444,-46.06666666666667,25.0
2020-04-20,-65.75,-48.77777777777778,-55.8,-66.22222222222223,-56.733333333333334,32.166666666666664
2020-04-21,-66.66666666666667,-49.5,-57.06666666666667,-65.55555555555556,-57.93333333333333,31.333333333333332
2020-04-22,-67.33333333333333,-49.0,-58.266666666666666,-64.33333333333333,-57.93333333333333,31.666666666666668
