date,retail_and_recreation_percent_change_from_baseline_Paraguay,grocery_and_pharmacy_percent_change_from_baseline_Paraguay,parks_percent_change_from_baseline_Paraguay,transit_stations_percent_change_from_baseline_Paraguay,workplaces_percent_change_from_baseline_Paraguay,residential_percent_change_from_baseline_Paraguay
2020-02-15,-6.411764705882353,-3.0,-11.8,-10.916666666666666,1.1666666666666667,2.75
2020-02-16,-10.6875,-5.714285714285714,-23.133333333333333,-10.727272727272727,-1.8333333333333333,6.166666666666667
2020-02-17,-1.0625,0.4375,-3.8461538461538463,-0.5555555555555556,12.0,-0.8461538461538461
2020-02-18,-6.0625,-1.9375,-12.23076923076923,-4.222222222222222,10.444444444444445,0.23076923076923078
2020-02-19,-5.0,-4.0625,-4.857142857142857,-3.4444444444444446,11.777777777777779,0.3076923076923077
2020-02-20,-2.588235294117647,-0.9375,-3.5384615384615383,-0.5555555555555556,13.0,-0.23076923076923078
2020-02-21,-6.388888888888889,-4.176470588235294,-10.785714285714286,-7.6,14.777777777777779,-0.38461538461538464
2020-02-22,-4.833333333333333,0.125,-9.6,-9.916666666666666,4.333333333333333,2.4444444444444446
2020-02-23,-5.25,-1.6428571428571428,-15.6,-11.6,4.277777777777778,4.5
2020-02-24,1.0,-1.25,-0.5384615384615384,-5.333333333333333,15.61111111111111,-0.7692307692307693
2020-02-25,-7.6875,-5.625,-19.615384615384617,-8.666666666666666,13.777777777777779,1.0
2020-02-26,-7.0588235294117645,-5.5,-6.857142857142857,-8.0,15.222222222222221,0.6153846153846154
2020-02-27,-1.4375,-0.1875,-3.3846153846153846,-1.1111111111111112,18.27777777777778,-1.0
2020-02-28,-2.0588235294117645,1.3529411764705883,-0.5714285714285714,-6.1,17.444444444444443,-1.8461538461538463
2020-02-29,2.611111111111111,6.75,-2.8666666666666667,-3.5454545454545454,6.222222222222222,0.9
2020-03-01,-1.8,1.7142857142857142,-9.666666666666666,-8.7,4.666666666666667,2.8333333333333335
2020-03-02,1.4375,5.0,-2.4166666666666665,-2.111111111111111,19.833333333333332,-1.5384615384615385
2020-03-03,-0.375,2.25,-3.230769230769231,-2.6666666666666665,18.72222222222222,-1.6923076923076923
2020-03-04,-1.5,0.625,-4.0,-3.111111111111111,19.0,-1.4615384615384615
2020-03-05,-0.375,0.5,-2.5384615384615383,0.2222222222222222,19.5,-1.7692307692307692
2020-03-06,-2.888888888888889,-2.235294117647059,-8.0,-5.6,19.166666666666668,-1.6923076923076923
2020-03-07,0.05555555555555555,2.3125,-7.428571428571429,-10.0,6.611111111111111,1.0
2020-03-08,-4.666666666666667,-0.6428571428571429,-10.266666666666667,-9.7,6.529411764705882,3.6666666666666665
2020-03-09,-2.4375,1.0,-5.6923076923076925,-2.888888888888889,19.833333333333332,-1.5384615384615385
2020-03-10,-3.3125,2.875,-6.923076923076923,-2.5555555555555554,18.72222222222222,-1.6923076923076923
2020-03-11,-9.588235294117647,1.875,-14.5,-8.555555555555555,6.444444444444445,4.3076923076923075
2020-03-12,-12.5,-6.0,-16.307692307692307,-11.88888888888889,3.0555555555555554,5.076923076923077
2020-03-13,-18.77777777777778,-10.444444444444445,-24.214285714285715,-24.4,0.1111111111111111,7.416666666666667
2020-03-14,-23.555555555555557,-9.941176470588236,-29.533333333333335,-30.75,-1.3888888888888888,9.75
2020-03-15,-36.3125,-19.285714285714285,-44.4,-40.90909090909091,-7.055555555555555,13.4
2020-03-16,-31.705882352941178,-13.705882352941176,-39.785714285714285,-38.0,-8.88888888888889,12.545454545454545
2020-03-17,-36.588235294117645,-23.235294117647058,-41.5,-43.77777777777778,-14.166666666666666,13.6
2020-03-18,-43.27777777777778,-26.058823529411764,-51.214285714285715,-50.0,-19.444444444444443,17.444444444444443
2020-03-19,-43.833333333333336,-29.058823529411764,-49.57142857142857,-52.666666666666664,-20.555555555555557,18.75
2020-03-20,-44.94444444444444,-23.11764705882353,-51.375,-53.75,-20.77777777777778,19.25
2020-03-21,-63.833333333333336,-41.5625,-67.5,-70.61538461538461,-38.5,27.666666666666668
2020-03-22,-71.52941176470588,-61.642857142857146,-74.4,-78.63636363636364,-33.666666666666664,26.8
2020-03-23,-64.88235294117646,-48.5,-62.785714285714285,-74.46153846153847,-47.0,30.333333333333332
2020-03-24,-67.0,-52.25,-65.92857142857143,-75.91666666666667,-50.333333333333336,31.5
2020-03-25,-67.0,-51.8125,-62.733333333333334,-76.5,-51.05555555555556,32.333333333333336
2020-03-26,-64.17647058823529,-48.125,-60.785714285714285,-74.4,-49.111111111111114,30.5
2020-03-27,-64.76470588235294,-45.470588235294116,-60.35294117647059,-72.42857142857143,-46.94444444444444,32.833333333333336
2020-03-28,-66.88235294117646,-46.588235294117645,-64.76470588235294,-74.61538461538461,-43.72222222222222,30.5
2020-03-29,-64.41176470588235,-53.57142857142857,-67.5,-75.0909090909091,-23.555555555555557,24.4
2020-03-30,-49.44444444444444,-35.88235294117647,-52.357142857142854,-66.54545454545455,-33.77777777777778,22.75
2020-03-31,-47.588235294117645,-29.8125,-52.214285714285715,-63.333333333333336,-34.0,21.375
2020-04-01,-53.55555555555556,-38.23529411764706,-55.42857142857143,-67.33333333333333,-37.611111111111114,25.125
2020-04-02,-57.294117647058826,-39.6875,-57.57142857142857,-69.77777777777777,-39.55555555555556,26.25
2020-04-03,-59.470588235294116,-40.375,-58.8235294117647,-70.07692307692308,-39.22222222222222,30.285714285714285
2020-04-04,-65.27777777777777,-46.0625,-65.47058823529412,-75.3076923076923,-40.27777777777778,30.5
2020-04-05,-69.52941176470588,-59.42857142857143,-72.86666666666666,-79.63636363636364,-27.666666666666668,27.0
2020-04-06,-66.17647058823529,-51.125,-66.07142857142857,-75.5,-51.388888888888886,32.5
2020-04-07,-60.294117647058826,-40.94117647058823,-61.214285714285715,-71.08333333333333,-48.94444444444444,29.333333333333332
2020-04-08,-61.23529411764706,-42.125,-59.642857142857146,-73.5,-52.388888888888886,30.333333333333332
2020-04-09,-70.0,-57.875,-65.28571428571429,-79.0,-62.05555555555556,33.0
2020-04-10,-82.52941176470588,-86.625,-73.125,-87.18181818181819,-72.44444444444444,44.0
2020-04-11,-71.23529411764706,-53.5625,-71.13333333333334,-79.71428571428571,-48.27777777777778,32.5
2020-04-12,-66.52941176470588,-54.42857142857143,-70.73333333333333,-78.18181818181819,-23.72222222222222,25.2
2020-04-13,-55.8235294117647,-47.1875,-58.214285714285715,-69.5,-39.55555555555556,25.75
2020-04-14,-53.588235294117645,-38.470588235294116,-55.357142857142854,-68.36363636363636,-36.333333333333336,23.375
2020-04-15,-54.294117647058826,-41.0,-55.07142857142857,-69.77777777777777,-35.72222222222222,25.875
2020-04-16,-52.05882352941177,-36.11764705882353,-53.142857142857146,-67.55555555555556,-33.27777777777778,24.875
2020-04-17,-52.333333333333336,-33.0,-54.875,-65.33333333333333,-31.88888888888889,27.25
2020-04-18,-55.88235294117647,-36.5625,-60.3125,-69.3076923076923,-29.88888888888889,26.166666666666668
2020-04-19,-60.588235294117645,-45.0,-66.86666666666666,-72.54545454545455,-17.22222222222222,23.6
2020-04-20,-47.3125,-32.294117647058826,-51.785714285714285,-64.81818181818181,-29.22222222222222,23.0
2020-04-21,-45.64705882352941,-29.647058823529413,-51.07142857142857,-63.0,-29.555555555555557,22.625
2020-04-22,-46.9375,-31.470588235294116,-50.857142857142854,-63.0,-28.5,23.125
2020-04-23,-47.470588235294116,-33.705882352941174,-52.07142857142857,-62.7,-28.0,23.125
2020-04-24,-50.529411764705884,-36.05882352941177,-55.75,-65.41666666666667,-27.72222222222222,25.625
2020-04-25,-53.611111111111114,-36.94117647058823,-58.294117647058826,-69.08333333333333,-25.38888888888889,24.166666666666668
2020-04-26,-60.4375,-48.0,-66.8,-73.18181818181819,-13.666666666666666,22.4
2020-04-27,-44.05882352941177,-34.470588235294116,-51.57142857142857,-63.09090909090909,-24.333333333333332,22.25
2020-04-28,-43.1875,-28.352941176470587,-50.5,-60.888888888888886,-24.38888888888889,17.11111111111111
2020-04-29,-42.75,-28.176470588235293,-49.142857142857146,-60.77777777777778,-23.555555555555557,20.22222222222222
2020-04-30,-37.23529411764706,-18.625,-44.857142857142854,-56.111111111111114,-22.22222222222222,17.11111111111111
2020-05-01,-64.17647058823529,-51.875,-63.1764705882353,-74.15384615384616,-53.72222222222222,32.666666666666664
2020-05-02,-52.35294117647059,-33.94117647058823,-60.25,-67.91666666666667,-25.444444444444443,24.0
2020-05-03,-58.125,-45.285714285714285,-66.06666666666666,-72.36363636363636,-12.944444444444445,21.4
2020-05-04,-37.05882352941177,-28.176470588235293,-43.714285714285715,-58.22222222222222,-16.833333333333332,17.333333333333332
2020-05-05,-38.588235294117645,-28.11764705882353,-47.214285714285715,-57.1,-18.61111111111111,18.333333333333332
2020-05-06,-38.76470588235294,-24.625,-46.142857142857146,-55.0,-18.38888888888889,18.77777777777778
2020-05-07,-36.1764705882353,-23.75,-42.57142857142857,-52.44444444444444,-16.11111111111111,18.0
2020-05-08,-40.705882352941174,-27.055555555555557,-48.125,-55.583333333333336,-15.61111111111111,20.875
2020-05-09,-43.94444444444444,-28.294117647058822,-53.875,-61.583333333333336,-14.666666666666666,20.125
2020-05-10,-52.25,-38.214285714285715,-61.53333333333333,-68.45454545454545,-5.666666666666667,19.6
2020-05-11,-34.1764705882353,-25.823529411764707,-43.92857142857143,-56.9,-13.777777777777779,16.333333333333332
2020-05-12,-40.611111111111114,-29.294117647058822,-51.214285714285715,-58.55555555555556,-20.444444444444443,18.444444444444443
2020-05-13,-32.125,-17.5,-42.142857142857146,-48.666666666666664,-14.777777777777779,14.545454545454545
2020-05-14,-31.375,-11.5,-41.0,-54.333333333333336,-33.44444444444444,17.875
2020-05-15,-55.388888888888886,-41.8235294117647,-56.0625,-71.08333333333333,-46.44444444444444,25.375
2020-05-16,-47.76470588235294,-33.05555555555556,-55.4375,-64.41666666666667,-17.333333333333332,21.0
2020-05-17,-52.8125,-39.8,-60.666666666666664,-66.63636363636364,-4.388888888888889,19.8
2020-05-18,-32.3125,-24.058823529411764,-39.07142857142857,-44.77777777777778,-9.166666666666666,14.166666666666666
2020-05-19,-32.875,-24.058823529411764,-37.785714285714285,-43.333333333333336,-10.944444444444445,14.083333333333334
2020-05-20,-32.23529411764706,-23.375,-37.857142857142854,-42.55555555555556,-10.38888888888889,14.416666666666666
2020-05-21,-37.05555555555556,-29.6875,-41.5,-43.888888888888886,-14.277777777777779,14.666666666666666
2020-05-22,-49.529411764705884,-34.833333333333336,-57.25,-57.416666666666664,-17.833333333333332,21.0
2020-05-23,-46.705882352941174,-27.705882352941178,-57.125,-57.5,-13.444444444444445,19.875
2020-05-24,-50.5625,-36.42857142857143,-58.4,-60.90909090909091,-2.1666666666666665,19.0
2020-05-25,-30.705882352941178,-24.470588235294116,-39.142857142857146,-43.111111111111114,-8.166666666666666,14.0
