date,retail_and_recreation_percent_change_from_baseline_Venezuela,grocery_and_pharmacy_percent_change_from_baseline_Venezuela,parks_percent_change_from_baseline_Venezuela,transit_stations_percent_change_from_baseline_Venezuela,workplaces_percent_change_from_baseline_Venezuela,residential_percent_change_from_baseline_Venezuela
2021-10-16,23.0,60.0,15.0,-6.0,23.0,4.0
2021-10-17,23.0,58.0,24.0,-3.0,17.0,4.0
2021-10-18,7.0,51.0,10.0,-26.0,-2.0,7.0
2021-10-19,10.0,54.0,11.0,-27.0,-4.0,7.0
2021-10-20,11.0,51.0,11.0,-25.0,-2.0,8.0
2021-10-21,8.0,49.0,6.0,-27.0,-2.0,9.0
2021-10-22,14.0,56.0,13.0,-24.0,6.0,7.0
2021-10-23,26.0,66.0,14.0,-17.0,26.0,5.0
2021-10-24,21.0,61.0,16.0,-19.0,18.0,6.0
2021-10-25,21.0,65.0,24.0,-10.0,5.0,4.0
2021-10-26,20.0,61.0,20.0,-14.0,1.0,5.0
2021-10-27,15.0,52.0,12.0,-16.0,0.0,7.0
2021-10-28,20.0,61.0,21.0,-13.0,3.0,5.0
2021-10-29,21.0,59.0,22.0,-13.0,10.0,5.0
2021-10-30,30.0,65.0,18.0,-5.0,27.0,4.0
2021-10-31,33.0,68.0,29.0,-2.0,22.0,4.0
2021-11-01,19.0,63.0,24.0,-15.0,4.0,5.0
2021-11-02,20.0,62.0,22.0,-16.0,3.0,5.0
2021-11-03,22.0,62.0,24.0,-14.0,4.0,6.0
2021-11-04,20.0,60.0,20.0,-16.0,5.0,6.0
2021-11-05,21.0,60.0,22.0,-15.0,12.0,5.0
2021-11-06,31.0,66.0,22.0,-8.0,30.0,4.0
2021-11-07,31.0,64.0,28.0,-7.0,24.0,5.0
2021-11-08,21.0,64.0,24.0,-12.0,8.0,4.0
2021-11-09,20.0,63.0,22.0,-15.0,4.0,4.0
2021-11-10,24.0,64.0,25.0,-11.0,6.0,6.0
2021-11-11,21.0,61.0,22.0,-14.0,6.0,6.0
2021-11-12,22.0,62.0,26.0,-13.0,13.0,5.0
2021-11-13,32.0,68.0,25.0,-7.0,31.0,4.0
2021-11-14,34.0,68.0,32.0,-4.0,27.0,5.0
2021-11-15,23.0,68.0,26.0,-13.0,8.0,6.0
2021-11-16,26.0,71.0,26.0,-13.0,5.0,6.0
2021-11-17,31.0,73.0,32.0,-8.0,5.0,6.0
2021-11-18,26.0,66.0,30.0,-12.0,2.0,7.0
2021-11-19,24.0,65.0,24.0,-14.0,12.0,7.0
2021-11-20,32.0,70.0,20.0,-8.0,33.0,6.0
2021-11-21,35.0,78.0,38.0,-5.0,36.0,4.0
2021-11-22,19.0,61.0,20.0,-17.0,2.0,9.0
2021-11-23,24.0,65.0,22.0,-13.0,7.0,7.0
2021-11-24,22.0,58.0,20.0,-12.0,6.0,8.0
2021-11-25,27.0,66.0,26.0,-11.0,9.0,6.0
2021-11-26,33.0,67.0,29.0,-8.0,15.0,5.0
2021-11-27,40.0,73.0,28.0,-2.0,33.0,4.0
2021-11-28,41.0,72.0,34.0,1.0,29.0,5.0
2021-11-29,26.0,70.0,27.0,-10.0,13.0,5.0
2021-11-30,29.0,72.0,29.0,-11.0,10.0,5.0
2021-12-01,30.0,68.0,29.0,-9.0,10.0,6.0
2021-12-02,28.0,68.0,27.0,-11.0,10.0,6.0
2021-12-03,29.0,68.0,30.0,-8.0,18.0,5.0
2021-12-04,39.0,75.0,30.0,-1.0,35.0,4.0
2021-12-05,41.0,73.0,36.0,1.0,33.0,4.0
2021-12-06,27.0,70.0,29.0,-9.0,14.0,5.0
2021-12-07,30.0,71.0,30.0,-9.0,12.0,5.0
2021-12-08,32.0,70.0,31.0,-6.0,14.0,6.0
2021-12-09,29.0,67.0,27.0,-9.0,15.0,5.0
2021-12-10,30.0,69.0,32.0,-7.0,23.0,4.0
2021-12-11,43.0,76.0,33.0,2.0,43.0,3.0
2021-12-12,47.0,78.0,41.0,7.0,44.0,3.0
2021-12-13,27.0,70.0,26.0,-8.0,14.0,6.0
2021-12-14,29.0,69.0,24.0,-9.0,11.0,6.0
2021-12-15,38.0,78.0,35.0,-3.0,13.0,5.0
2021-12-16,39.0,78.0,38.0,-5.0,11.0,4.0
2021-12-17,34.0,70.0,36.0,-7.0,16.0,0.0
2021-12-18,49.0,81.0,36.0,7.0,43.0,2.0
2021-12-19,63.0,90.0,51.0,19.0,51.0,1.0
2021-12-20,45.0,90.0,44.0,4.0,5.0,4.0
2021-12-21,48.0,94.0,47.0,4.0,0.0,4.0
2021-12-22,53.0,99.0,52.0,11.0,-1.0,4.0
2021-12-23,61.0,123.0,60.0,14.0,-6.0,2.0
2021-12-24,36.0,107.0,51.0,-5.0,-29.0,6.0
2021-12-25,-40.0,-21.0,-8.0,-55.0,-45.0,14.0
2021-12-26,29.0,58.0,39.0,-1.0,26.0,5.0
2021-12-27,28.0,73.0,36.0,-5.0,-7.0,8.0
2021-12-28,33.0,81.0,40.0,-5.0,-10.0,8.0
2021-12-29,41.0,91.0,49.0,2.0,-10.0,7.0
2021-12-30,46.0,110.0,52.0,5.0,-14.0,5.0
2021-12-31,24.0,97.0,45.0,-11.0,-34.0,8.0
2022-01-01,-42.0,-26.0,-3.0,-56.0,-48.0,12.0
2022-01-02,8.0,41.0,38.0,-15.0,-1.0,6.0
2022-01-03,-4.0,45.0,18.0,-25.0,-32.0,14.0
2022-01-04,1.0,52.0,20.0,-24.0,-27.0,14.0
2022-01-05,7.0,56.0,25.0,-21.0,-22.0,14.0
2022-01-06,6.0,54.0,27.0,-22.0,-21.0,13.0
2022-01-07,3.0,51.0,21.0,-20.0,-13.0,13.0
2022-01-08,11.0,53.0,21.0,-11.0,16.0,10.0
2022-01-09,15.0,53.0,26.0,-6.0,23.0,8.0
2022-01-10,15.0,65.0,23.0,-13.0,3.0,9.0
2022-01-11,14.0,62.0,20.0,-15.0,3.0,10.0
2022-01-12,15.0,61.0,21.0,-13.0,5.0,11.0
2022-01-13,14.0,61.0,20.0,-16.0,5.0,11.0
2022-01-14,14.0,63.0,21.0,-15.0,10.0,11.0
2022-01-15,22.0,66.0,21.0,-9.0,34.0,9.0
2022-01-16,20.0,62.0,26.0,-5.0,29.0,8.0
2022-01-17,17.0,66.0,23.0,-12.0,10.0,10.0
2022-01-18,16.0,63.0,20.0,-18.0,7.0,9.0
2022-01-19,19.0,63.0,21.0,-15.0,8.0,11.0
2022-01-20,16.0,60.0,18.0,-17.0,8.0,12.0
2022-01-21,16.0,60.0,16.0,-17.0,15.0,11.0
2022-01-22,22.0,63.0,15.0,-14.0,35.0,10.0
2022-01-23,20.0,61.0,22.0,-12.0,29.0,9.0
2022-01-24,19.0,66.0,22.0,-16.0,13.0,10.0
2022-01-25,19.0,66.0,20.0,-17.0,9.0,11.0
2022-01-26,23.0,68.0,24.0,-14.0,10.0,11.0
2022-01-27,19.0,62.0,17.0,-17.0,11.0,12.0
2022-01-28,20.0,63.0,18.0,-15.0,18.0,11.0
2022-01-29,30.0,73.0,23.0,-9.0,40.0,9.0
2022-01-30,26.0,65.0,27.0,-9.0,32.0,8.0
2022-01-31,24.0,71.0,26.0,-13.0,18.0,9.0
2022-02-01,24.0,70.0,25.0,-14.0,14.0,10.0
2022-02-02,26.0,69.0,27.0,-12.0,15.0,11.0
2022-02-03,24.0,66.0,23.0,-14.0,16.0,10.0
2022-02-04,24.0,66.0,25.0,-11.0,24.0,10.0
2022-02-05,32.0,71.0,23.0,-8.0,43.0,8.0
2022-02-06,28.0,66.0,28.0,-8.0,35.0,8.0
2022-02-07,25.0,70.0,27.0,-12.0,22.0,9.0
2022-02-08,26.0,67.0,23.0,-13.0,17.0,9.0
2022-02-09,29.0,68.0,28.0,-11.0,18.0,10.0
2022-02-10,28.0,67.0,26.0,-11.0,19.0,9.0
2022-02-11,29.0,68.0,28.0,-10.0,28.0,8.0
2022-02-12,39.0,76.0,30.0,-4.0,46.0,7.0
2022-02-13,40.0,78.0,36.0,-1.0,44.0,7.0
2022-02-14,57.0,92.0,50.0,-4.0,28.0,5.0
2022-02-15,28.0,71.0,27.0,-13.0,20.0,9.0
2022-02-16,31.0,72.0,30.0,-9.0,22.0,9.0
2022-02-17,29.0,69.0,28.0,-11.0,23.0,9.0
2022-02-18,31.0,70.0,30.0,-8.0,32.0,7.0
2022-02-19,39.0,75.0,29.0,-3.0,49.0,6.0
2022-02-20,36.0,71.0,36.0,-1.0,40.0,7.0
2022-02-21,29.0,72.0,31.0,-9.0,28.0,7.0
2022-02-22,30.0,71.0,33.0,-8.0,24.0,8.0
2022-02-23,32.0,69.0,36.0,-6.0,24.0,8.0
2022-02-24,31.0,69.0,34.0,-7.0,25.0,8.0
2022-02-25,34.0,72.0,38.0,-2.0,32.0,7.0
2022-02-26,38.0,75.0,35.0,3.0,47.0,5.0
2022-02-27,46.0,83.0,66.0,6.0,44.0,4.0
2022-02-28,9.0,48.0,56.0,-28.0,-38.0,14.0
2022-03-01,-4.0,32.0,37.0,-34.0,-46.0,16.0
2022-03-02,22.0,59.0,31.0,-11.0,20.0,9.0
2022-03-03,25.0,63.0,30.0,-12.0,24.0,10.0
2022-03-04,28.0,66.0,31.0,-11.0,34.0,10.0
2022-03-05,38.0,71.0,29.0,-5.0,53.0,9.0
2022-03-06,35.0,69.0,37.0,-2.0,45.0,9.0
2022-03-07,30.0,68.0,37.0,-8.0,31.0,9.0
2022-03-08,30.0,63.0,36.0,-9.0,27.0,11.0
2022-03-09,29.0,61.0,36.0,-8.0,28.0,12.0
2022-03-10,26.0,58.0,32.0,-11.0,29.0,13.0
2022-03-11,28.0,62.0,33.0,-11.0,38.0,12.0
2022-03-12,39.0,71.0,35.0,-3.0,56.0,11.0
2022-03-13,39.0,72.0,47.0,1.0,50.0,11.0
2022-03-14,30.0,66.0,42.0,-6.0,35.0,12.0
2022-03-15,32.0,70.0,41.0,-6.0,31.0,12.0
2022-03-16,33.0,66.0,42.0,-6.0,31.0,12.0
2022-03-17,30.0,65.0,38.0,-8.0,31.0,12.0
2022-03-18,32.0,67.0,38.0,-7.0,39.0,11.0
2022-03-19,40.0,72.0,37.0,-2.0,54.0,10.0
2022-03-20,39.0,71.0,47.0,3.0,48.0,10.0
2022-03-21,32.0,73.0,46.0,-5.0,35.0,11.0
2022-03-22,34.0,73.0,43.0,-7.0,32.0,11.0
2022-03-23,33.0,68.0,43.0,-6.0,33.0,12.0
2022-03-24,29.0,62.0,37.0,-9.0,33.0,12.0
2022-03-25,31.0,64.0,37.0,-8.0,41.0,11.0
2022-03-26,43.0,76.0,38.0,0.0,56.0,9.0
2022-03-27,43.0,77.0,49.0,5.0,50.0,9.0
2022-03-28,30.0,67.0,43.0,-6.0,37.0,11.0
2022-03-29,32.0,67.0,40.0,-7.0,33.0,12.0
2022-03-30,36.0,71.0,44.0,-5.0,34.0,11.0
2022-03-31,36.0,78.0,42.0,-6.0,34.0,11.0
2022-04-01,38.0,82.0,44.0,-5.0,44.0,9.0
2022-04-02,48.0,82.0,43.0,4.0,57.0,8.0
2022-04-03,48.0,81.0,53.0,8.0,51.0,9.0
2022-04-04,33.0,71.0,46.0,-3.0,39.0,10.0
2022-04-05,33.0,68.0,43.0,-6.0,33.0,11.0
2022-04-06,36.0,67.0,45.0,-4.0,34.0,11.0
2022-04-07,36.0,70.0,44.0,-4.0,35.0,11.0
2022-04-08,39.0,74.0,46.0,0.0,42.0,9.0
2022-04-09,50.0,84.0,47.0,9.0,58.0,8.0
2022-04-10,53.0,86.0,65.0,12.0,54.0,8.0
2022-04-11,37.0,78.0,54.0,-2.0,22.0,11.0
2022-04-12,39.0,80.0,53.0,-3.0,16.0,11.0
2022-04-13,47.0,93.0,74.0,5.0,8.0,10.0
2022-04-14,7.0,58.0,53.0,-23.0,-45.0,18.0
2022-04-15,-12.0,24.0,47.0,-38.0,-52.0,22.0
2022-04-16,16.0,44.0,40.0,-16.0,11.0,13.0
2022-04-17,24.0,51.0,40.0,0.0,33.0,10.0
2022-04-18,32.0,70.0,45.0,-3.0,25.0,11.0
2022-04-19,12.0,50.0,30.0,-21.0,-18.0,20.0
2022-04-20,35.0,71.0,43.0,-3.0,34.0,12.0
2022-04-21,33.0,70.0,41.0,-5.0,35.0,12.0
2022-04-22,35.0,70.0,40.0,-5.0,44.0,11.0
2022-04-23,46.0,77.0,38.0,1.0,59.0,11.0
2022-04-24,47.0,80.0,50.0,8.0,55.0,10.0
2022-04-25,36.0,72.0,47.0,-1.0,42.0,11.0
2022-04-26,32.0,67.0,37.0,-5.0,35.0,12.0
2022-04-27,35.0,67.0,41.0,-4.0,35.0,12.0
2022-04-28,31.0,63.0,34.0,-8.0,36.0,12.0
2022-04-29,40.0,75.0,41.0,-3.0,46.0,9.0
2022-04-30,53.0,87.0,38.0,4.0,58.0,9.0
2022-05-01,58.0,94.0,57.0,10.0,56.0,9.0
2022-05-02,41.0,82.0,50.0,1.0,41.0,10.0
2022-05-03,41.0,79.0,46.0,-2.0,37.0,10.0
2022-05-04,43.0,75.0,45.0,-2.0,37.0,10.0
2022-05-05,41.0,73.0,39.0,-4.0,38.0,10.0
2022-05-06,37.0,68.0,33.0,-6.0,43.0,11.0
2022-05-07,64.0,98.0,44.0,13.0,61.0,8.0
2022-05-08,83.0,104.0,57.0,18.0,70.0,6.0
2022-05-09,31.0,67.0,37.0,-5.0,37.0,11.0
2022-05-10,34.0,71.0,36.0,-6.0,37.0,12.0
2022-05-11,37.0,72.0,41.0,-3.0,37.0,12.0
2022-05-12,36.0,70.0,41.0,-5.0,39.0,11.0
2022-05-13,38.0,74.0,41.0,-3.0,48.0,10.0
