date,retail_and_recreation_percent_change_from_baseline_Guatemala,grocery_and_pharmacy_percent_change_from_baseline_Guatemala,parks_percent_change_from_baseline_Guatemala,transit_stations_percent_change_from_baseline_Guatemala,workplaces_percent_change_from_baseline_Guatemala,residential_percent_change_from_baseline_Guatemala
2020-02-15,4.2727272727272725,1.8863636363636365,1.9529411764705882,4.233333333333333,2.559322033898305,-2.0
2020-02-16,4.791666666666667,4.390243902439025,2.0344827586206895,1.8846153846153846,0.5652173913043478,-0.9285714285714286
2020-02-17,-1.7659574468085106,-0.6341463414634146,-1.5810810810810811,-5.714285714285714,5.211267605633803,-0.18421052631578946
2020-02-18,-0.3404255319148936,-1.5128205128205128,-0.9459459459459459,-3.5,5.083333333333333,-0.5
2020-02-19,-1.6326530612244898,-4.075,-3.0,-5.555555555555555,3.9444444444444446,0.1891891891891892
2020-02-20,-1.4489795918367347,-1.9473684210526316,-0.2894736842105263,-0.38461538461538464,3.4027777777777777,0.10256410256410256
2020-02-21,-2.86,-3.8780487804878048,-2.6790123456790123,-4.9,6.422535211267606,-1.2222222222222223
2020-02-22,-2.267857142857143,-3.022727272727273,-1.4883720930232558,1.4193548387096775,2.9827586206896552,-1.3076923076923077
2020-02-23,-0.8163265306122449,-1.6097560975609757,1.5113636363636365,-0.21428571428571427,1.5777777777777777,0.0
2020-02-24,-4.666666666666667,-4.536585365853658,-3.824324324324324,-5.379310344827586,5.690140845070423,0.23684210526315788
2020-02-25,-2.5208333333333335,-4.641025641025641,-1.5921052631578947,-4.346153846153846,3.986111111111111,-0.2894736842105263
2020-02-26,-2.7346938775510203,-4.846153846153846,0.27631578947368424,-3.4074074074074074,4.013888888888889,0.3333333333333333
2020-02-27,-1.5714285714285714,-1.7692307692307692,-2.2,-2.0,3.0,0.05
2020-02-28,1.469387755102041,2.925,-0.5063291139240507,-1.2333333333333334,6.549295774647887,-0.9459459459459459
2020-02-29,6.2727272727272725,8.577777777777778,2.7976190476190474,5.933333333333334,5.220338983050848,-2.8846153846153846
2020-03-01,6.5,7.157894736842105,0.8505747126436781,4.423076923076923,3.782608695652174,-1.7857142857142858
2020-03-02,0.5434782608695652,3.825,-0.40540540540540543,-3.9655172413793105,6.535211267605634,-0.4358974358974359
2020-03-03,1.0217391304347827,2.3333333333333335,0.27631578947368424,-0.44,5.375,-0.7692307692307693
2020-03-04,1.1041666666666667,2.45,-1.2658227848101267,1.0,5.583333333333333,-0.1891891891891892
2020-03-05,1.7346938775510203,2.210526315789474,1.1333333333333333,3.04,4.985915492957746,-0.05
2020-03-06,-0.28,0.075,-1.0506329113924051,-2.6666666666666665,7.295774647887324,-0.4594594594594595
2020-03-07,0.45614035087719296,0.8863636363636364,0.47674418604651164,1.6206896551724137,3.8333333333333335,-1.56
2020-03-08,1.5416666666666667,-1.025,-1.0229885057471264,-1.5172413793103448,2.782608695652174,-0.7142857142857143
2020-03-09,-4.066666666666666,-2.1,-4.684210526315789,-6.321428571428571,5.152777777777778,0.3684210526315789
2020-03-10,-2.021276595744681,-1.631578947368421,-2.324324324324324,-3.96,5.638888888888889,-0.05128205128205128
2020-03-11,-2.6530612244897958,-0.775,-3.810126582278481,-5.0,5.166666666666667,0.358974358974359
2020-03-12,-0.8958333333333334,1.9736842105263157,-1.2894736842105263,-0.08,4.211267605633803,0.15384615384615385
2020-03-13,1.0833333333333333,13.575,0.12658227848101267,-3.566666666666667,6.236111111111111,-0.9166666666666666
2020-03-14,0.2545454545454545,9.767441860465116,-0.6309523809523809,-2.1724137931034484,3.1864406779661016,-0.76
2020-03-15,-14.346938775510203,2.7435897435897436,-10.431818181818182,-15.206896551724139,-1.6521739130434783,4.166666666666667
2020-03-16,-11.130434782608695,16.15,-11.552631578947368,-15.607142857142858,-11.68,6.0588235294117645
2020-03-17,-39.98,-13.820512820512821,-26.817073170731707,-44.2,-32.921052631578945,16.93103448275862
2020-03-18,-48.58,-30.11904761904762,-35.05882352941177,-52.903225806451616,-38.725,21.68
2020-03-19,-50.92156862745098,-33.743589743589745,-37.294117647058826,-56.86666666666667,-40.7625,23.2
2020-03-20,-54.18867924528302,-36.093023255813954,-41.160919540229884,-59.303030303030305,-41.61538461538461,25.458333333333332
2020-03-21,-64.35714285714286,-45.666666666666664,-50.16483516483517,-68.51612903225806,-41.940298507462686,23.692307692307693
2020-03-22,-75.5,-56.390243902439025,-58.733333333333334,-69.10344827586206,-46.41509433962264,22.857142857142858
2020-03-23,-64.20833333333333,-49.05,-50.035714285714285,-68.09375,-52.353658536585364,32.15
2020-03-24,-64.80851063829788,-50.07692307692308,-50.97701149425287,-67.03030303030303,-53.71951219512195,30.55
2020-03-25,-63.104166666666664,-47.34146341463415,-49.81395348837209,-64.6470588235294,-52.69135802469136,30.85
2020-03-26,-61.57142857142857,-47.3421052631579,-48.56470588235294,-64.90625,-52.44578313253012,30.857142857142858
2020-03-27,-61.48979591836735,-45.16279069767442,-47.375,-64.84848484848484,-48.70886075949367,31.9
2020-03-28,-62.21818181818182,-44.82608695652174,-47.92307692307692,-65.75757575757575,-38.90909090909091,23.846153846153847
2020-03-29,-64.70588235294117,-45.292682926829265,-51.354838709677416,-61.758620689655174,-35.705882352941174,19.666666666666668
2020-03-30,-52.1764705882353,-40.025,-42.096385542168676,-60.81818181818182,-43.81481481481482,25.88
2020-03-31,-50.083333333333336,-36.025,-40.4367816091954,-58.666666666666664,-42.6375,24.24
2020-04-01,-51.395833333333336,-35.90243902439025,-42.104651162790695,-59.193548387096776,-42.9,25.36
