date,retail_and_recreation_percent_change_from_baseline_Brazil,grocery_and_pharmacy_percent_change_from_baseline_Brazil,parks_percent_change_from_baseline_Brazil,transit_stations_percent_change_from_baseline_Brazil,workplaces_percent_change_from_baseline_Brazil,residential_percent_change_from_baseline_Brazil
2020-02-15,0.35032537960954446,1.487468671679198,-5.843631778058008,-1.4558058925476602,5.6884247171453435,0.01834862385321101
2020-02-16,-3.2286874154262515,1.1440677966101696,-9.133084577114428,-4.9943609022556394,0.06818181818181818,1.3785714285714286
2020-02-17,-5.781935483870968,-2.526060606060606,-13.554438860971525,-1.710344827586207,16.699722607489598,-0.712682379349046
2020-02-18,-5.703889585947302,-2.76,-12.862354892205639,-1.3960923623445827,15.78825136612022,-0.9185022026431718
2020-02-19,-4.900124843945068,-2.798552472858866,-10.147350993377483,-0.37158469945355194,15.588948787061994,-0.967032967032967
2020-02-20,1.1529850746268657,4.867737948084055,-3.9982788296041307,6.2209737827715355,15.785084745762711,-1.6142857142857143
2020-02-21,1.6571428571428573,7.872162485065711,-2.829160530191458,11.506944444444445,15.156782549420587,-1.3191489361702127
2020-02-22,1.7860360360360361,9.533672172808132,8.461336828309305,13.672932330827068,-1.797262617621899,0.2608695652173913
2020-02-23,5.876056338028169,10.499130434782609,28.12162162162162,-5.534883720930233,-2.188369152970923,0.5961995249406176
2020-02-24,-10.199203187250996,-0.35870967741935483,44.546938775510206,-19.984848484848484,-36.709281961471106,7.557774607703281
2020-02-25,-28.43813131313131,-26.233009708737864,27.12185686653772,-19.68495575221239,-53.02872628726287,9.756218905472636
2020-02-26,-15.871536523929471,-9.014796547472256,-13.436187399030695,-3.0055555555555555,-13.265142150803461,5.105651105651106
2020-02-27,-7.2407407407407405,0.0782608695652174,-11.602605863192183,-0.7324723247232472,11.634782608695652,0.9067415730337078
2020-02-28,-8.115646258503402,0.27532777115613827,-17.248579545454547,-7.604958677685951,14.566347469220247,1.2218430034129693
2020-02-29,-6.5704918032786885,1.86125,-18.75121951219512,-9.901023890784982,5.264808362369338,3.2395672333848533
2020-03-01,-12.195710455764075,1.3299492385786802,-23.64922711058264,-12.490530303030303,-0.8295454545454546,4.464720194647202
2020-03-02,-9.180878552971576,-1.053593179049939,-21.978441127694857,-5.13126079447323,18.259233449477353,-0.0731981981981982
2020-03-03,-7.6042713567839195,-0.6024390243902439,-19.12355848434926,-4.032374100719425,16.92196132596685,-0.42574257425742573
2020-03-04,-5.423076923076923,0.3635265700483092,-14.118811881188119,-2.3202146690518783,17.706603131381893,-0.7066521264994547
2020-03-05,-1.2512376237623761,3.924969249692497,-8.308080808080808,0.48722627737226276,18.604109589041094,-1.4463894967177242
2020-03-06,1.5302166476624857,7.420673076923077,-8.723032069970845,2.01669449081803,18.821870701513067,-1.633630289532294
2020-03-07,5.393569844789357,10.66581956797967,-9.20251572327044,-0.6017543859649123,7.049694856146469,0.44732824427480916
2020-03-08,5.127397260273972,9.241438356164384,-9.508641975308642,-3.385658914728682,3.445859872611465,1.3404255319148937
2020-03-09,-2.2007874015748032,2.5924112607099143,-11.17258883248731,0.3374125874125874,19.896431070678798,-1.2635658914728682
2020-03-10,-1.948297604035309,2.698911729141475,-11.681972789115646,1.0036297640653358,19.01801801801802,-1.687089715536105
2020-03-11,-2.7091136079900124,1.0036407766990292,-9.608552631578947,0.07194244604316546,18.272043745727956,-1.4137554585152838
2020-03-12,-3.0370828182941905,1.3424317617866004,-9.6723259762309,1.0924214417744917,18.26330150068213,-1.4059080962800876
2020-03-13,-3.188487584650113,1.9533492822966507,-11.09221902017291,0.13210702341137123,19.936496859734824,-1.4534368070953436
2020-03-14,-3.0461031833150383,4.121401752190238,-10.876404494382022,-5.615120274914089,6.092801387684302,1.207373271889401
2020-03-15,-8.948509485094851,4.928934010152284,-15.199756394640682,-9.434782608695652,0.678391959798995,2.4066985645933014
2020-03-16,-12.500650195058517,2.7463414634146344,-21.813531353135314,-9.633105802047782,14.90499306518724,0.8676470588235294
2020-03-17,-17.46,4.554744525547445,-24.342532467532468,-15.07719298245614,8.481431465226198,2.731818181818182
2020-03-18,-24.49255583126551,4.675609756097561,-28.591836734693878,-21.203478260869566,-0.2980089916506101,5.7284533648170015
2020-03-19,-34.101485148514854,-0.33623910336239105,-32.46821705426357,-29.169284467713787,-11.666666666666666,9.100371747211897
2020-03-20,-41.80340909090909,-2.013173652694611,-41.31493943472409,-37.97538461538461,-14.505674653215637,11.783958602846054
2020-03-21,-61.22742857142857,-18.4019975031211,-54.770930232558136,-50.42642140468227,-27.462074303405572,15.387596899224807
2020-03-22,-74.01815431164901,-37.67567567567568,-63.77875,-62.072,-33.698901098901096,17.065015479876163
2020-03-23,-66.54980595084088,-29.454075032341528,-55.35463258785943,-59.07678883071553,-38.452937820878496,19.398782343987822
2020-03-24,-70.88055908513341,-35.87719298245614,-56.958990536277604,-62.21308411214953,-45.17849223946785,21.28391167192429
2020-03-25,-69.69735182849936,-34.02136181575434,-54.125574272588054,-62.263653483992464,-45.8986301369863,21.701277955271564
2020-03-26,-67.49564134495641,-31.648793565683647,-50.4709388971684,-61.21951219512195,-44.069651741293534,20.968847352024923
2020-03-27,-66.53211009174312,-29.305276381909547,-51.93732970027248,-60.998266897746966,-40.97254004576659,21.74497681607419
2020-03-28,-69.45776255707763,-30.795454545454547,-54.48888888888889,-61.69758812615955,-37.94135115070527,17.964948453608248
2020-03-29,-72.68694362017804,-38.314335060449054,-59.65895249695493,-65.17439293598234,-31.715555555555557,16.440366972477065
