date,retail_and_recreation_percent_change_from_baseline_Nicaragua,grocery_and_pharmacy_percent_change_from_baseline_Nicaragua,parks_percent_change_from_baseline_Nicaragua,transit_stations_percent_change_from_baseline_Nicaragua,workplaces_percent_change_from_baseline_Nicaragua,residential_percent_change_from_baseline_Nicaragua
2021-05-28,23.7,48.0,8.785714285714286,29.875,3.588235294117647,-4.9
2021-05-29,29.4,59.111111111111114,15.923076923076923,38.625,-6.0,-6.375
2021-05-30,41.3,69.75,18.214285714285715,47.142857142857146,-10.375,-7.0
2021-05-31,25.0,44.22222222222222,1.9230769230769231,20.25,-23.38888888888889,-0.375
2021-06-01,27.375,47.44444444444444,7.3076923076923075,27.875,8.444444444444445,-5.7
2021-06-02,18.25,35.55555555555556,3.4615384615384617,33.57142857142857,7.777777777777778,-4.4
2021-06-03,14.88888888888889,32.0,1.6153846153846154,21.125,7.117647058823529,-3.4
2021-06-04,14.1,36.111111111111114,5.857142857142857,21.75,10.823529411764707,-4.111111111111111
2021-06-05,14.454545454545455,36.22222222222222,7.214285714285714,20.5,-5.647058823529412,-3.0
2021-06-06,6.7,29.625,-2.933333333333333,15.857142857142858,-19.529411764705884,0.0
2021-06-07,15.5,31.77777777777778,-3.1538461538461537,14.75,9.235294117647058,-3.2
2021-06-08,11.0,28.88888888888889,-6.538461538461538,15.5,8.058823529411764,-3.6666666666666665
2021-06-09,4.111111111111111,23.444444444444443,-5.3076923076923075,5.375,3.2222222222222223,-6.5
2021-06-10,9.555555555555555,27.11111111111111,-3.1538461538461537,11.5,5.9411764705882355,-3.2
2021-06-11,10.7,32.111111111111114,4.928571428571429,16.375,8.235294117647058,-4.125
2021-06-12,7.909090909090909,30.444444444444443,0.2857142857142857,12.125,-9.294117647058824,-2.875
2021-06-13,3.9,24.625,-5.4,8.428571428571429,-21.11764705882353,0.0
2021-06-14,13.5,29.444444444444443,-4.230769230769231,8.875,5.176470588235294,-3.9
2021-06-15,13.88888888888889,34.77777777777778,-5.153846153846154,16.625,6.611111111111111,-4.444444444444445
2021-06-16,16.875,34.666666666666664,-1.3846153846153846,16.5,3.388888888888889,-5.888888888888889
2021-06-17,12.25,28.11111111111111,-5.153846153846154,8.5,-0.5555555555555556,-5.2
2021-06-18,10.0,31.11111111111111,0.21428571428571427,12.375,2.176470588235294,-5.375
2021-06-19,9.909090909090908,31.444444444444443,-0.14285714285714285,11.125,-13.705882352941176,-4.625
2021-06-20,4.8,25.875,-6.285714285714286,10.142857142857142,-25.0,-1.8
