date,retail_and_recreation_percent_change_from_baseline_Mexico,grocery_and_pharmacy_percent_change_from_baseline_Mexico,parks_percent_change_from_baseline_Mexico,transit_stations_percent_change_from_baseline_Mexico,workplaces_percent_change_from_baseline_Mexico,residential_percent_change_from_baseline_Mexico
2020-02-15,5.666666666666667,4.636363636363637,6.454545454545454,1.0,3.515151515151515,-1.2121212121212122
2020-02-16,6.393939393939394,5.151515151515151,5.363636363636363,4.363636363636363,1.8181818181818181,-0.7575757575757576
2020-02-17,1.5151515151515151,2.6363636363636362,1.9393939393939394,3.303030303030303,12.030303030303031,-2.212121212121212
2020-02-18,-0.30303030303030304,-0.5454545454545454,2.1818181818181817,0.696969696969697,9.545454545454545,-1.7878787878787878
2020-02-19,-0.42424242424242425,-0.696969696969697,1.2727272727272727,1.0909090909090908,8.696969696969697,-1.4848484848484849
2020-02-20,-0.3939393939393939,-1.0606060606060606,1.8181818181818181,2.0303030303030303,8.06060606060606,-1.3636363636363635
2020-02-21,-2.5454545454545454,-1.7575757575757576,0.5454545454545454,4.212121212121212,11.212121212121213,-1.5454545454545454
2020-02-22,0.0,0.18181818181818182,8.575757575757576,1.5151515151515151,3.4242424242424243,-0.12121212121212122
2020-02-23,1.7878787878787878,0.9696969696969697,8.06060606060606,3.696969696969697,1.4545454545454546,-0.2727272727272727
2020-02-24,-1.8484848484848484,-1.2727272727272727,5.878787878787879,2.242424242424242,7.636363636363637,-1.3333333333333333
2020-02-25,-2.4242424242424243,-1.9090909090909092,5.848484848484849,2.242424242424242,4.909090909090909,-1.0
2020-02-26,-4.090909090909091,-2.787878787878788,2.0,0.7575757575757576,6.696969696969697,-0.9393939393939394
2020-02-27,-0.7272727272727273,0.12121212121212122,-1.6666666666666667,1.1515151515151516,6.696969696969697,-0.5757575757575758
2020-02-28,2.242424242424242,5.878787878787879,3.303030303030303,4.212121212121212,12.06060606060606,-2.121212121212121
2020-02-29,5.03030303030303,8.393939393939394,6.454545454545454,2.3636363636363638,5.666666666666667,-0.7575757575757576
2020-03-01,5.666666666666667,8.030303030303031,5.96969696969697,4.03030303030303,3.3333333333333335,-0.5757575757575758
2020-03-02,0.5454545454545454,4.424242424242424,0.6666666666666666,1.7575757575757576,12.575757575757576,-2.121212121212121
2020-03-03,-0.45454545454545453,2.0606060606060606,-0.42424242424242425,-0.2727272727272727,9.393939393939394,-1.4848484848484849
2020-03-04,0.09090909090909091,2.727272727272727,0.9696969696969697,0.9696969696969697,9.484848484848484,-1.5151515151515151
2020-03-05,0.36363636363636365,1.8484848484848484,1.1515151515151516,0.9393939393939394,9.242424242424242,-1.3333333333333333
2020-03-06,-2.606060606060606,0.24242424242424243,0.36363636363636365,2.090909090909091,12.515151515151516,-1.6363636363636365
2020-03-07,-0.18181818181818182,1.4848484848484849,3.6666666666666665,-0.7878787878787878,5.606060606060606,-0.24242424242424243
2020-03-08,2.5454545454545454,2.0,6.7272727272727275,-2.787878787878788,3.090909090909091,0.18181818181818182
2020-03-09,-9.696969696969697,-6.212121212121212,-7.242424242424242,-6.9393939393939394,-13.030303030303031,5.515151515151516
2020-03-10,-2.5757575757575757,0.09090909090909091,0.45454545454545453,2.242424242424242,9.242424242424242,-1.606060606060606
2020-03-11,-1.5151515151515151,0.3333333333333333,1.1818181818181819,1.0909090909090908,9.181818181818182,-1.5757575757575757
2020-03-12,0.0,2.393939393939394,1.8484848484848484,3.0606060606060606,8.545454545454545,-1.6363636363636365
2020-03-13,2.1515151515151514,6.96969696969697,3.4242424242424243,9.121212121212121,6.090909090909091,-1.3333333333333333
2020-03-14,4.03030303030303,11.818181818181818,9.454545454545455,9.030303030303031,3.6666666666666665,-1.5454545454545454
2020-03-15,2.3333333333333335,8.666666666666666,8.969696969696969,-6.909090909090909,1.2424242424242424,-0.9090909090909091
2020-03-16,-8.030303030303031,5.878787878787879,-4.303030303030303,-3.8181818181818183,-50.60606060606061,11.151515151515152
2020-03-17,-6.818181818181818,5.787878787878788,-7.9393939393939394,-0.36363636363636365,-1.393939393939394,1.5151515151515151
2020-03-18,-12.181818181818182,2.212121212121212,-13.878787878787879,-9.969696969696969,-8.515151515151516,5.090909090909091
2020-03-19,-16.515151515151516,0.45454545454545453,-16.151515151515152,-16.09090909090909,-12.848484848484848,6.575757575757576
2020-03-20,-23.696969696969695,-2.909090909090909,-21.545454545454547,-23.484848484848484,-13.636363636363637,8.727272727272727
2020-03-21,-30.545454545454547,-6.575757575757576,-29.666666666666668,-27.272727272727273,-7.0,8.696969696969697
2020-03-22,-38.21212121212121,-14.969696969696969,-37.03030303030303,-36.15151515151515,-10.848484848484848,8.757575757575758
2020-03-23,-31.0,-14.848484848484848,-30.151515151515152,-35.27272727272727,-27.78787878787879,11.969696969696969
2020-03-24,-34.45454545454545,-16.333333333333332,-33.09090909090909,-37.09090909090909,-33.09090909090909,13.575757575757576
2020-03-25,-36.45454545454545,-18.0,-35.27272727272727,-39.90909090909091,-35.24242424242424,14.787878787878787
2020-03-26,-37.27272727272727,-18.242424242424242,-35.81818181818182,-43.21212121212121,-36.484848484848484,15.727272727272727
2020-03-27,-39.27272727272727,-16.87878787878788,-36.24242424242424,-46.63636363636363,-33.45454545454545,16.606060606060606
2020-03-28,-39.93939393939394,-14.818181818181818,-37.78787878787879,-44.27272727272727,-17.636363636363637,12.363636363636363
2020-03-29,-46.42424242424242,-21.03030303030303,-46.03030303030303,-50.484848484848484,-20.181818181818183,11.848484848484848
