date,retail_and_recreation_percent_change_from_baseline_Ecuador,grocery_and_pharmacy_percent_change_from_baseline_Ecuador,parks_percent_change_from_baseline_Ecuador,transit_stations_percent_change_from_baseline_Ecuador,workplaces_percent_change_from_baseline_Ecuador,residential_percent_change_from_baseline_Ecuador
2020-03-18,-73.06666666666666,-60.16326530612245,-63.61538461538461,-77.26666666666667,-69.1304347826087,32.75757575757576
2020-03-19,-75.42105263157895,-60.0,-65.9322033898305,-80.91111111111111,-70.98305084745763,34.46875
2020-03-20,-77.57377049180327,-61.96153846153846,-68.25210084033614,-81.90243902439025,-71.88793103448276,39.84375
2020-03-21,-81.36507936507937,-67.16363636363636,-71.76521739130435,-82.65,-63.68478260869565,31.105263157894736
2020-03-22,-79.60655737704919,-64.94117647058823,-71.38260869565218,-82.8157894736842,-56.20779220779221,24.3125
2020-03-23,-78.89090909090909,-66.5576923076923,-68.21621621621621,-83.7,-74.05042016806723,36.93333333333333
2020-03-24,-78.91071428571429,-64.53061224489795,-69.54629629629629,-82.07692307692308,-75.69166666666666,36.5
2020-03-25,-82.38888888888889,-71.25531914893617,-73.16981132075472,-84.55555555555556,-78.05982905982906,38.68
2020-03-26,-82.16363636363636,-69.1875,-72.66055045871559,-85.11428571428571,-77.85217391304347,38.8
2020-03-27,-82.08333333333333,-69.5,-72.34234234234235,-85.64102564102564,-76.64912280701755,43.19230769230769
2020-03-28,-83.52459016393442,-70.0377358490566,-73.75925925925925,-84.1025641025641,-66.79787234042553,33.111111111111114
2020-03-29,-82.01724137931035,-70.24528301886792,-73.96428571428571,-84.69444444444444,-58.17948717948718,25.5625
2020-03-30,-78.70370370370371,-65.86274509803921,-69.50467289719626,-83.15384615384616,-75.55172413793103,37.44444444444444
2020-03-31,-78.92727272727272,-66.375,-69.99065420560747,-82.10810810810811,-75.91666666666667,35.607142857142854
2020-04-01,-78.12280701754386,-64.73469387755102,-68.80733944954129,-81.65,-75.44915254237289,37.03448275862069
2020-04-02,-80.66071428571429,-67.83333333333333,-70.81651376146789,-81.84615384615384,-76.36974789915966,37.76923076923077
2020-04-03,-78.5,-64.63461538461539,-68.74782608695652,-81.37209302325581,-74.80341880341881,41.30769230769231
2020-04-04,-80.0,-66.03703703703704,-70.60344827586206,-81.07142857142857,-64.55319148936171,31.17391304347826
2020-04-05,-79.69491525423729,-68.23076923076923,-72.0,-83.39473684210526,-56.8974358974359,24.88235294117647
2020-04-06,-77.53571428571429,-67.50943396226415,-67.89814814814815,-82.275,-74.7457627118644,37.225806451612904
2020-04-07,-77.0909090909091,-65.33333333333333,-67.43119266055047,-80.725,-74.9504132231405,35.70967741935484
2020-04-08,-76.2542372881356,-63.9,-66.44144144144144,-79.04761904761905,-74.58333333333333,36.12903225806452
2020-04-09,-75.66666666666667,-62.53061224489796,-66.36283185840708,-78.85,-74.77586206896552,36.483870967741936
2020-04-10,-79.08474576271186,-64.75471698113208,-70.42342342342343,-82.52272727272727,-78.52173913043478,41.52
2020-04-11,-89.55555555555556,-85.60714285714286,-80.36842105263158,-90.93939393939394,-71.65957446808511,36.529411764705884
2020-04-12,-88.15094339622641,-85.03703703703704,-78.89,-89.70967741935483,-63.5,28.0
